disk,mean,std,Mode,processes,image,spark
Optane,10.206649462381998,0.04200628817556285,Memory mode,25,40bb,False
local,246.61037143071493,1.9620604111813964,Memory mode,25,40bb,False
isilon,1282.6529200871785,38.65823615657861,Memory mode,25,40bb,False
DRAM,7.627574682235718,0.08397288323469534,App Direct mode,25,40bb,False
optaneAD,122.31889351209004,4.21342261935527,App Direct mode,25,40bb,False
localAD,246.71060729026794,3.1949098009158945,App Direct mode,25,40bb,False
isilonAD,1215.3730580012004,14.65063662522879,App Direct mode,25,40bb,False
Optane,9.087648868560791,0.11523318877923285,Memory mode,96,40bb,False
local,251.81585597991943,158.80674083309884,Memory mode,96,40bb,False
isilon,1356.8886816501617,5.7256440189935915,Memory mode,96,40bb,False
DRAM,5.66287096341451,0.0658822472630961,App Direct mode,96,40bb,False
optaneAD,96.86580363909404,7.088979966895404,App Direct mode,96,40bb,False
localAD,261.86602290471393,152.30296820042483,App Direct mode,96,40bb,False
isilonAD,1352.807557662328,2.415887498853837,App Direct mode,96,40bb,False
Optane,176.93747099240622,28.44070613763722,Memory mode,25,20bb,False
isilon,9721.275109450022,156.73199564895864,Memory mode,25,20bb,False
optaneAD,823.9140194257101,10.575559124332653,App Direct mode,25,20bb,False
isilonAD,9775.168706973394,392.4892303803246,App Direct mode,25,20bb,False
Optane,385.5265176296234,161.59169323095506,Memory mode,25,20bb,True
isilon,10809.584088643393,340.49270223305945,Memory mode,25,20bb,True
optane,954.3756248156229,36.91112701123658,App Direct mode,25,20bb,True
isilon,11099.739846785864,375.73237458553103,App Direct mode,25,20bb,True
Optane,140.55697679519653,13.621051443115743,Memory mode,96,20bb,False
isilon,10731.30395746231,59.31493777344558,Memory mode,96,20bb,False
optaneAD,797.4903964201609,19.940772363523113,App Direct mode,96,20bb,False
isilonAD,10585.471649646759,178.25740992433276,App Direct mode,96,20bb,False
Optane,855.8984713554382,55.93541363791566,Memory mode,96,20bb,True
isilon,10522.682275851568,78.0699263035577,Memory mode,96,20bb,True
optane,954.008680899938,28.888088338620676,App Direct mode,96,20bb,True
isilon,11038.399237473806,700.284495467875,App Direct mode,96,20bb,True
