driver_program,0,10866.2325527668,/home/users/vhayots/spark-1570479884-isilonAD_1it_25cpus_120delay_withpc-0,allfiles
load_img,5109.837584495544,5110.226882696152,bigbrain_6160_3020_4170.nii,79268
increment_data,5167.615674257278,5171.220215559006,bigbrain_6160_3020_4170.nii,79268
save_incremented,5173.345313310623,5218.686675786972,bigbrain_6160_3020_4170.nii,79268
load_img,2959.0176780223846,2959.42439866066,bigbrain_6930_4228_695.nii,79214
increment_data,2994.422060728073,3012.775544166565,bigbrain_6930_4228_695.nii,79214
save_incremented,3038.3198170661926,3120.3739075660706,bigbrain_6930_4228_695.nii,79214
load_img,4553.867901802063,4554.253632307053,bigbrain_770_4228_3475.nii,79241
increment_data,4582.969876050949,4591.962469577789,bigbrain_770_4228_3475.nii,79241
save_incremented,4628.698484659195,4698.252923488617,bigbrain_770_4228_3475.nii,79241
load_img,9677.347273349762,9677.796069383621,bigbrain_0_2416_2085.nii,79271
increment_data,9729.887842416763,9737.00441813469,bigbrain_0_2416_2085.nii,79271
save_incremented,9742.323662757874,9797.21312904358,bigbrain_0_2416_2085.nii,79271
load_img,3189.642554998398,3190.0347242355347,bigbrain_770_604_6255.nii,79238
increment_data,3213.81414437294,3214.5327003002167,bigbrain_770_604_6255.nii,79238
save_incremented,3227.5096666812897,3298.958319425583,bigbrain_770_604_6255.nii,79238
load_img,1174.0617020130157,1174.4974653720856,bigbrain_2310_4228_695.nii,79277
increment_data,1242.588527917862,1243.4478688240051,bigbrain_2310_4228_695.nii,79277
save_incremented,1258.7736294269562,1347.7105824947357,bigbrain_2310_4228_695.nii,79277
load_img,1781.5328850746155,1782.1025547981262,bigbrain_6930_4832_0.nii,79268
increment_data,1783.809679031372,1784.677235841751,bigbrain_6930_4832_0.nii,79268
save_incremented,1807.280365228653,1914.5398066043854,bigbrain_6930_4832_0.nii,79268
load_img,692.1211473941803,692.5010707378387,bigbrain_5390_4228_2085.nii,79253
increment_data,695.4136657714844,696.5044040679932,bigbrain_5390_4228_2085.nii,79253
save_incremented,704.7715578079224,799.3638136386871,bigbrain_5390_4228_2085.nii,79253
load_img,9201.67894911766,9202.423235177994,bigbrain_0_4832_695.nii,79280
increment_data,9208.048902750015,9210.881047487259,bigbrain_0_4832_695.nii,79280
save_incremented,9220.044069766998,9329.074607849121,bigbrain_0_4832_695.nii,79280
load_img,5115.941003084183,5116.322410106659,bigbrain_3850_604_4170.nii,79253
increment_data,5173.315309047699,5174.092748165131,bigbrain_3850_604_4170.nii,79253
save_incremented,5179.631407737732,5266.534270763397,bigbrain_3850_604_4170.nii,79253
load_img,10195.168696403503,10195.561980485916,bigbrain_6160_4228_5560.nii,79223
increment_data,10239.297038078308,10252.835018873215,bigbrain_6160_4228_5560.nii,79223
save_incremented,10283.01417517662,10343.179792881012,bigbrain_6160_4228_5560.nii,79223
load_img,6687.155788183212,6687.759428501129,bigbrain_2310_0_4865.nii,79232
increment_data,6705.422712802887,6707.093601226807,bigbrain_2310_0_4865.nii,79232
save_incremented,6712.630784511566,6772.994688034058,bigbrain_2310_0_4865.nii,79232
load_img,9467.766474723816,9468.464385509491,bigbrain_6160_1208_4865.nii,79268
increment_data,9469.530552387238,9471.198216438293,bigbrain_6160_1208_4865.nii,79268
save_incremented,9487.923723459244,9602.408071756363,bigbrain_6160_1208_4865.nii,79268
load_img,915.8454492092133,916.2346098423004,bigbrain_3080_2416_5560.nii,79232
increment_data,969.7617449760437,970.4666929244995,bigbrain_3080_2416_5560.nii,79232
save_incremented,982.194491147995,1082.1839344501495,bigbrain_3080_2416_5560.nii,79232
load_img,4829.814549446106,4830.2613570690155,bigbrain_770_4228_4865.nii,79262
increment_data,4863.2185044288635,4873.930182695389,bigbrain_770_4228_4865.nii,79262
save_incremented,4901.9802050590515,4962.2500693798065,bigbrain_770_4228_4865.nii,79262
load_img,5965.023214101791,5965.958647012711,bigbrain_0_1812_3475.nii,79250
increment_data,5990.768817901611,5993.0076196193695,bigbrain_0_1812_3475.nii,79250
save_incremented,6005.7261662483215,6109.822205781937,bigbrain_0_1812_3475.nii,79250
load_img,9183.683818101883,9184.10800409317,bigbrain_5390_4228_2780.nii,79238
increment_data,9201.407333374023,9202.574915409088,bigbrain_5390_4228_2780.nii,79238
save_incremented,9211.888075590134,9325.066727876663,bigbrain_5390_4228_2780.nii,79238
load_img,6976.37921667099,6977.141348838806,bigbrain_1540_1208_1390.nii,79277
increment_data,6980.9346714019775,6982.186651468277,bigbrain_1540_1208_1390.nii,79277
save_incremented,7010.36255812645,7104.468982696533,bigbrain_1540_1208_1390.nii,79277
load_img,9732.180024147034,9733.059923887253,bigbrain_2310_5436_2780.nii,79259
increment_data,9742.256839036942,9744.254297018051,bigbrain_2310_5436_2780.nii,79259
save_incremented,9772.540811538696,9877.135481834412,bigbrain_2310_5436_2780.nii,79259
load_img,1784.2156567573547,1784.6932401657104,bigbrain_770_0_2085.nii,79277
increment_data,1809.697219133377,1813.5759181976318,bigbrain_770_0_2085.nii,79277
save_incremented,1828.0185220241547,1918.4796760082245,bigbrain_770_0_2085.nii,79277
load_img,8654.851734161377,8655.873190402985,bigbrain_1540_4228_1390.nii,79253
increment_data,8669.998250484467,8675.343709945679,bigbrain_1540_4228_1390.nii,79253
save_incremented,8716.042157411575,8774.751104593277,bigbrain_1540_4228_1390.nii,79253
load_img,10195.985337495804,10196.58535528183,bigbrain_5390_604_2780.nii,79209
increment_data,10254.904101371765,10263.888671159744,bigbrain_5390_604_2780.nii,79209
save_incremented,10283.019335985184,10337.838115930557,bigbrain_5390_604_2780.nii,79209
load_img,5433.299731016159,5433.6827528476715,bigbrain_1540_4228_2085.nii,79250
increment_data,5445.4023180007935,5446.207811355591,bigbrain_1540_4228_2085.nii,79250
save_incremented,5454.261237859726,5585.997490167618,bigbrain_1540_4228_2085.nii,79250
load_img,3808.2253742218018,3808.6125791072845,bigbrain_3850_4832_2780.nii,79223
increment_data,3812.4274921417236,3813.4652330875397,bigbrain_3850_4832_2780.nii,79223
save_incremented,3822.662811279297,3939.2537813186646,bigbrain_3850_4832_2780.nii,79223
load_img,3812.965654373169,3813.522293329239,bigbrain_0_5436_4865.nii,79268
increment_data,3829.467914581299,3834.4717605113983,bigbrain_0_5436_4865.nii,79268
save_incremented,3857.883352994919,3947.9103050231934,bigbrain_0_5436_4865.nii,79268
load_img,5705.149072170258,5705.536541461945,bigbrain_770_3020_695.nii,79209
increment_data,5719.054547548294,5720.063999414444,bigbrain_770_3020_695.nii,79209
save_incremented,5755.128213405609,5841.871477842331,bigbrain_770_3020_695.nii,79209
load_img,7160.183951854706,7160.682953119278,bigbrain_4620_1812_2085.nii,79217
increment_data,7221.171962022781,7224.7492706775665,bigbrain_4620_1812_2085.nii,79217
save_incremented,7235.813175916672,7265.387159347534,bigbrain_4620_1812_2085.nii,79217
load_img,4577.687019109726,4578.073164463043,bigbrain_6930_4832_3475.nii,79265
increment_data,4628.694732666016,4629.659109830856,bigbrain_6930_4832_3475.nii,79265
save_incremented,4636.067610740662,4748.71817111969,bigbrain_6930_4832_3475.nii,79265
load_img,8654.646193265915,8655.919181585312,bigbrain_4620_0_5560.nii,79268
increment_data,8673.0236389637,8678.446178913116,bigbrain_4620_0_5560.nii,79268
save_incremented,8718.454737186432,8779.612812280655,bigbrain_4620_0_5560.nii,79268
load_img,4902.668726205826,4903.18382692337,bigbrain_2310_4228_3475.nii,79238
increment_data,4937.2868049144745,4941.823683261871,bigbrain_2310_4228_3475.nii,79238
save_incremented,4956.323373794556,5038.308843374252,bigbrain_2310_4228_3475.nii,79238
load_img,3257.580785036087,3257.983293771744,bigbrain_6160_4228_695.nii,79280
increment_data,3282.797198534012,3290.5614154338837,bigbrain_6160_4228_695.nii,79280
save_incremented,3304.685375213623,3380.8689501285553,bigbrain_6160_4228_695.nii,79280
load_img,6961.537371873856,6962.100274562836,bigbrain_4620_1812_0.nii,79268
increment_data,6976.560944318771,6977.880127429962,bigbrain_4620_1812_0.nii,79268
save_incremented,6981.874502420425,7031.467232704163,bigbrain_4620_1812_0.nii,79268
load_img,8351.517305612564,8352.420752763748,bigbrain_1540_1208_0.nii,79265
increment_data,8381.138762235641,8382.691407442093,bigbrain_1540_1208_0.nii,79265
save_incremented,8389.120221853256,8481.555454969406,bigbrain_1540_1208_0.nii,79265
load_img,4629.36891579628,4629.877206325531,bigbrain_2310_5436_5560.nii,79277
increment_data,4658.835010290146,4662.5326590538025,bigbrain_2310_5436_5560.nii,79277
save_incremented,4673.4082362651825,4789.415101528168,bigbrain_2310_5436_5560.nii,79277
load_img,415.4315140247345,415.8200466632843,bigbrain_6160_0_3475.nii,79209
increment_data,422.64927315711975,424.02103900909424,bigbrain_6160_0_3475.nii,79209
save_incremented,427.32815861701965,560.5221753120422,bigbrain_6160_0_3475.nii,79209
load_img,2895.0110211372375,2895.39724111557,bigbrain_1540_4228_0.nii,79208
increment_data,2940.3424994945526,2947.642155647278,bigbrain_1540_4228_0.nii,79208
save_incremented,2957.5106196403503,3060.5705235004425,bigbrain_1540_4228_0.nii,79208
load_img,10490.306547403336,10491.097775936127,bigbrain_4620_1812_6255.nii,79217
increment_data,10540.427027225494,10547.578866958618,bigbrain_4620_1812_6255.nii,79217
save_incremented,10552.953805208206,10621.270839691162,bigbrain_4620_1812_6255.nii,79217
load_img,3214.26034116745,3214.6743681430817,bigbrain_2310_1812_4865.nii,79223
increment_data,3256.7884027957916,3257.629234313965,bigbrain_2310_1812_4865.nii,79223
save_incremented,3264.400333881378,3365.9970660209656,bigbrain_2310_1812_4865.nii,79223
load_img,10476.468681573868,10476.9234893322,bigbrain_5390_1812_6255.nii,79262
increment_data,10508.847283124924,10516.039016246796,bigbrain_5390_1812_6255.nii,79262
save_incremented,10552.944713115692,10614.13722705841,bigbrain_5390_1812_6255.nii,79262
load_img,637.6423945426941,638.027138710022,bigbrain_4620_2416_4170.nii,79277
increment_data,693.4851477146149,695.2376456260681,bigbrain_4620_2416_4170.nii,79277
save_incremented,695.4098703861237,764.0741775035858,bigbrain_4620_2416_4170.nii,79277
load_img,9736.865985631943,9737.572264194489,bigbrain_2310_3624_4170.nii,79208
increment_data,9742.588293790817,9743.836594820023,bigbrain_2310_3624_4170.nii,79208
save_incremented,9768.107107877731,9870.793439865112,bigbrain_2310_3624_4170.nii,79208
load_img,618.4805524349213,618.868664264679,bigbrain_3080_5436_4865.nii,79241
increment_data,655.9015324115753,663.0680227279663,bigbrain_3080_5436_4865.nii,79241
save_incremented,695.3652737140656,756.3118357658386,bigbrain_3080_5436_4865.nii,79241
load_img,1731.574389219284,1731.9659101963043,bigbrain_2310_3624_2085.nii,79241
increment_data,1783.774908542633,1784.6029343605042,bigbrain_2310_3624_2085.nii,79241
save_incremented,1797.1208682060242,1880.9346792697906,bigbrain_2310_3624_2085.nii,79241
load_img,7694.765383720398,7695.255437135696,bigbrain_3850_3624_695.nii,79244
increment_data,7763.390486717224,7772.836903810501,bigbrain_3850_3624_695.nii,79244
save_incremented,7794.722586393356,7835.455332994461,bigbrain_3850_3624_695.nii,79244
load_img,2286.6508882045746,2287.120268344879,bigbrain_1540_1812_2780.nii,79235
increment_data,2305.0077102184296,2316.965546131134,bigbrain_1540_1812_2780.nii,79235
save_incremented,2375.447275161743,2454.0402393341064,bigbrain_1540_1812_2780.nii,79235
load_img,8853.532050848007,8854.306053876877,bigbrain_3850_3624_2780.nii,79223
increment_data,8895.354503154755,8903.789437770844,bigbrain_3850_3624_2780.nii,79223
save_incremented,8925.395533323288,8998.652891635895,bigbrain_3850_3624_2780.nii,79223
load_img,3257.402998685837,3257.90340924263,bigbrain_770_4228_6255.nii,79259
increment_data,3270.737411260605,3277.542863368988,bigbrain_770_4228_6255.nii,79259
save_incremented,3285.9082581996918,3375.851414680481,bigbrain_770_4228_6255.nii,79259
load_img,6698.890645027161,6699.508594989777,bigbrain_1540_4228_4865.nii,79271
increment_data,6705.505917787552,6707.501824378967,bigbrain_1540_4228_4865.nii,79271
save_incremented,6713.7480890750885,6787.804951667786,bigbrain_1540_4228_4865.nii,79271
load_img,4351.4598598480225,4351.854652404785,bigbrain_0_1208_4865.nii,79265
increment_data,4357.035270690918,4357.871331691742,bigbrain_0_1208_4865.nii,79265
save_incremented,4368.880851268768,4471.703912258148,bigbrain_0_1208_4865.nii,79265
load_img,6636.829272985458,6637.219465255737,bigbrain_0_0_3475.nii,79217
increment_data,6674.965034246445,6687.965513706207,bigbrain_0_0_3475.nii,79217
save_incremented,6705.296329021454,6748.6120636463165,bigbrain_0_0_3475.nii,79217
load_img,10766.316293239594,10767.197840929031,bigbrain_2310_3624_5560.nii,79238
increment_data,10772.899720430374,10774.91354751587,bigbrain_2310_3624_5560.nii,79238
save_incremented,10776.974584817886,10819.906217336655,bigbrain_2310_3624_5560.nii,79238
load_img,4567.993620872498,4568.373467683792,bigbrain_0_4228_5560.nii,79247
increment_data,4628.69345998764,4629.513822078705,bigbrain_0_4228_5560.nii,79247
save_incremented,4633.589902162552,4733.7830493450165,bigbrain_0_4228_5560.nii,79247
load_img,7418.298433065414,7418.683078289032,bigbrain_6930_4228_1390.nii,79209
increment_data,7448.41921377182,7462.40504360199,bigbrain_6930_4228_1390.nii,79209
save_incremented,7505.762538433075,7584.012704133987,bigbrain_6930_4228_1390.nii,79209
load_img,4560.508457899094,4560.898976564407,bigbrain_5390_1812_1390.nii,79262
increment_data,4623.010842561722,4625.683210134506,bigbrain_5390_1812_1390.nii,79262
save_incremented,4628.7201862335205,4694.439039468765,bigbrain_5390_1812_1390.nii,79262
load_img,1455.1651289463043,1455.5493545532227,bigbrain_3850_5436_4865.nii,79241
increment_data,1512.8140745162964,1513.6809599399567,bigbrain_3850_5436_4865.nii,79241
save_incremented,1517.8276104927063,1588.3568432331085,bigbrain_3850_5436_4865.nii,79241
load_img,4902.752074241638,4903.181064605713,bigbrain_2310_3624_4865.nii,79208
increment_data,4939.97830748558,4944.487945556641,bigbrain_2310_3624_4865.nii,79208
save_incremented,4951.088506221771,5031.102080821991,bigbrain_2310_3624_4865.nii,79208
load_img,3813.307619571686,3813.7717452049255,bigbrain_3850_1812_2085.nii,79262
increment_data,3854.999587059021,3860.084869146347,bigbrain_3850_1812_2085.nii,79262
save_incremented,3867.2869348526,3953.057923078537,bigbrain_3850_1812_2085.nii,79262
load_img,6444.278823852539,6445.221978664398,bigbrain_6930_1208_1390.nii,79244
increment_data,6454.038494348526,6456.672308683395,bigbrain_6930_1208_1390.nii,79244
save_incremented,6480.497527122498,6527.27266907692,bigbrain_6930_1208_1390.nii,79244
load_img,2628.564767599106,2629.0601592063904,bigbrain_770_3020_2780.nii,79238
increment_data,2629.0676238536835,2629.8154153823853,bigbrain_770_3020_2780.nii,79238
