driver_program,0,910.5066287517548,/pmem1-data/val/spark-1570553319-optaneAD_1it_96cpus_0delay_npc-2,allfiles
load_img,105.91631841659546,106.4952495098114,bigbrain_5390_5436_4865.nii,106728
increment_data,106.50471329689026,108.61190128326416,bigbrain_5390_5436_4865.nii,106728
save_incremented,108.61229038238525,132.05403232574463,bigbrain_5390_5436_4865.nii,106728
load_img,106.34945464134216,107.12838220596313,bigbrain_1540_3020_4170.nii,106767
increment_data,107.13849925994873,109.07016253471375,bigbrain_1540_3020_4170.nii,106767
save_incremented,109.07072687149048,115.02040553092957,bigbrain_1540_3020_4170.nii,106767
load_img,106.53609824180603,107.83849096298218,bigbrain_770_1208_695.nii,106740
increment_data,107.85122466087341,109.82640171051025,bigbrain_770_1208_695.nii,106740
save_incremented,109.82732558250427,116.2171151638031,bigbrain_770_1208_695.nii,106740
load_img,106.76684141159058,108.06709933280945,bigbrain_5390_4228_5560.nii,106746
increment_data,108.08423328399658,110.4412305355072,bigbrain_5390_4228_5560.nii,106746
save_incremented,110.4425630569458,116.60610365867615,bigbrain_5390_4228_5560.nii,106746
load_img,106.62160897254944,108.09575247764587,bigbrain_3850_5436_2780.nii,106743
increment_data,108.10173630714417,110.74658060073853,bigbrain_3850_5436_2780.nii,106743
save_incremented,110.75627708435059,128.7957878112793,bigbrain_3850_5436_2780.nii,106743
load_img,106.55651688575745,108.14409375190735,bigbrain_6160_4832_2085.nii,106737
increment_data,108.15317869186401,111.07858514785767,bigbrain_6160_4832_2085.nii,106737
save_incremented,111.09247016906738,162.17419481277466,bigbrain_6160_4832_2085.nii,106737
load_img,106.90071296691895,108.1618902683258,bigbrain_3080_5436_695.nii,106773
increment_data,108.16893076896667,110.20809054374695,bigbrain_3080_5436_695.nii,106773
save_incremented,110.21043515205383,115.88180756568909,bigbrain_3080_5436_695.nii,106773
load_img,107.15333819389343,108.2384262084961,bigbrain_5390_3020_4170.nii,106845
increment_data,108.24601292610168,110.27505946159363,bigbrain_5390_3020_4170.nii,106845
save_incremented,110.2759919166565,116.15836215019226,bigbrain_5390_3020_4170.nii,106845
load_img,106.83501648902893,108.2662501335144,bigbrain_4620_4832_4170.nii,106781
increment_data,108.27281093597412,111.79885578155518,bigbrain_4620_4832_4170.nii,106781
save_incremented,111.80551958084106,116.2091932296753,bigbrain_4620_4832_4170.nii,106781
load_img,106.74907374382019,108.27383160591125,bigbrain_0_4228_3475.nii,106875
increment_data,108.28061509132385,110.72041630744934,bigbrain_0_4228_3475.nii,106875
save_incremented,110.72160482406616,116.12853670120239,bigbrain_0_4228_3475.nii,106875
load_img,106.99332404136658,108.28734111785889,bigbrain_770_3020_3475.nii,106812
increment_data,108.29409217834473,111.36165595054626,bigbrain_770_3020_3475.nii,106812
save_incremented,111.3761134147644,123.94720530509949,bigbrain_770_3020_3475.nii,106812
load_img,107.07031965255737,108.29957723617554,bigbrain_2310_0_695.nii,106842
increment_data,108.3060257434845,111.29755187034607,bigbrain_2310_0_695.nii,106842
save_incremented,111.29905009269714,115.48691463470459,bigbrain_2310_0_695.nii,106842
load_img,107.24794507026672,108.38274478912354,bigbrain_5390_0_4170.nii,106806
increment_data,108.38906002044678,110.69604253768921,bigbrain_5390_0_4170.nii,106806
save_incremented,110.70237565040588,116.58729696273804,bigbrain_5390_0_4170.nii,106806
load_img,107.06355738639832,108.38479495048523,bigbrain_0_4228_4865.nii,106779
increment_data,108.39088249206543,110.59203457832336,bigbrain_0_4228_4865.nii,106779
save_incremented,110.5931384563446,144.64233708381653,bigbrain_0_4228_4865.nii,106779
load_img,107.20691204071045,108.4189841747284,bigbrain_6930_4832_5560.nii,106881
increment_data,108.42642879486084,110.67773652076721,bigbrain_6930_4832_5560.nii,106881
save_incremented,110.67915654182434,116.6983003616333,bigbrain_6930_4832_5560.nii,106881
load_img,107.32904267311096,108.42680549621582,bigbrain_5390_604_5560.nii,106848
increment_data,108.43528127670288,111.07555770874023,bigbrain_5390_604_5560.nii,106848
save_incremented,111.07659006118774,115.50491881370544,bigbrain_5390_604_5560.nii,106848
load_img,107.01370096206665,108.43341755867004,bigbrain_3080_4228_0.nii,106784
increment_data,108.4448881149292,110.7870442867279,bigbrain_3080_4228_0.nii,106784
save_incremented,110.78791666030884,130.13588619232178,bigbrain_3080_4228_0.nii,106784
load_img,107.17893099784851,108.43144536018372,bigbrain_1540_3624_0.nii,106791
increment_data,108.45008397102356,111.26952576637268,bigbrain_1540_3624_0.nii,106791
save_incremented,111.27105569839478,132.74013805389404,bigbrain_1540_3624_0.nii,106791
load_img,107.25154757499695,108.45573663711548,bigbrain_6930_1208_5560.nii,106815
increment_data,108.4630479812622,111.88405060768127,bigbrain_6930_1208_5560.nii,106815
save_incremented,111.88460922241211,136.45581221580505,bigbrain_6930_1208_5560.nii,106815
load_img,107.48133373260498,108.45879292488098,bigbrain_6160_3020_695.nii,106827
increment_data,108.46555376052856,111.36288332939148,bigbrain_6160_3020_695.nii,106827
save_incremented,111.37895321846008,162.21448302268982,bigbrain_6160_3020_695.nii,106827
load_img,106.92647004127502,108.4659333229065,bigbrain_4620_4832_6255.nii,106724
increment_data,108.47648406028748,111.98698997497559,bigbrain_4620_4832_6255.nii,106724
