driver_program,0,323.3662271499634,/pmem1-data/val/spark-1570844393-optaneAD_1it_25cpus_120delay_withpc_em-0,allfiles
load_img,5.532918691635132,5.535498142242432,bigbrain_0_2416_4865.nii,141372
increment_data,5.536319971084595,13.901634454727173,bigbrain_0_2416_4865.nii,141372
save_incremented,13.902299404144287,31.046613454818726,bigbrain_0_2416_4865.nii,141372
load_img,5.541361093521118,5.543450832366943,bigbrain_0_4228_4865.nii,141366
increment_data,5.544044256210327,14.051560163497925,bigbrain_0_4228_4865.nii,141366
save_incremented,14.052171468734741,29.74999499320984,bigbrain_0_4228_4865.nii,141366
load_img,5.550740957260132,5.553483247756958,bigbrain_0_4228_4865.nii,141367
increment_data,5.554046392440796,13.576991081237793,bigbrain_0_4228_4865.nii,141367
save_incremented,13.578649044036865,27.70954728126526,bigbrain_0_4228_4865.nii,141367
load_img,5.585018157958984,5.587170124053955,bigbrain_0_2416_2780.nii,141375
increment_data,5.587838888168335,13.704845666885376,bigbrain_0_2416_2780.nii,141375
save_incremented,13.707706928253174,18.673853635787964,bigbrain_0_2416_2780.nii,141375
load_img,5.625523090362549,5.627803802490234,bigbrain_0_4228_4865.nii,141378
increment_data,5.628482103347778,13.807077884674072,bigbrain_0_4228_4865.nii,141378
save_incremented,13.808277606964111,27.871919631958008,bigbrain_0_4228_4865.nii,141378
load_img,5.646179676055908,5.649491548538208,bigbrain_0_3020_4865.nii,141381
increment_data,5.650304079055786,14.05461597442627,bigbrain_0_3020_4865.nii,141381
save_incremented,14.056017875671387,20.913438320159912,bigbrain_0_3020_4865.nii,141381
load_img,5.685579299926758,5.687793493270874,bigbrain_0_3624_695.nii,141384
increment_data,5.688485383987427,14.003046989440918,bigbrain_0_3624_695.nii,141384
save_incremented,14.003679752349854,16.28002953529358,bigbrain_0_3624_695.nii,141384
load_img,5.689694404602051,5.692776679992676,bigbrain_0_2416_4865.nii,141387
increment_data,5.693960905075073,14.004148006439209,bigbrain_0_2416_4865.nii,141387
save_incremented,14.00437068939209,19.0756516456604,bigbrain_0_2416_4865.nii,141387
load_img,5.717554330825806,5.720796585083008,bigbrain_0_3020_2780.nii,141393
increment_data,5.721996545791626,13.878786087036133,bigbrain_0_3020_2780.nii,141393
save_incremented,13.880013465881348,19.929465770721436,bigbrain_0_3020_2780.nii,141393
load_img,5.735950708389282,5.742579460144043,bigbrain_0_2416_2780.nii,141390
increment_data,5.74473237991333,14.226990222930908,bigbrain_0_2416_2780.nii,141390
save_incremented,14.227357149124146,27.681060075759888,bigbrain_0_2416_2780.nii,141390
load_img,5.758276700973511,5.764244794845581,bigbrain_0_3020_2780.nii,141414
increment_data,5.766694068908691,14.180615901947021,bigbrain_0_3020_2780.nii,141414
save_incremented,14.180975914001465,30.198691368103027,bigbrain_0_3020_2780.nii,141414
load_img,5.766520738601685,5.769686698913574,bigbrain_0_2416_2780.nii,141406
increment_data,5.771191835403442,14.112777471542358,bigbrain_0_2416_2780.nii,141406
save_incremented,14.113157033920288,27.95792555809021,bigbrain_0_2416_2780.nii,141406
load_img,5.77300500869751,5.7797019481658936,bigbrain_0_3020_4865.nii,141396
increment_data,5.782280683517456,14.144294738769531,bigbrain_0_3020_4865.nii,141396
save_incremented,14.1447012424469,18.944335460662842,bigbrain_0_3020_4865.nii,141396
