driver_program,0,1046.9023263454437,/home/val/spark-1570915691-localAD_1it_96cpus_0delay_npc_em-1,allfiles
load_img,12.056488275527954,12.126883029937744,bigbrain_0_2416_2780.nii,159327
increment_data,12.127747774124146,22.346497058868408,bigbrain_0_2416_2780.nii,159327
save_incremented,22.346673727035522,56.19755554199219,bigbrain_0_2416_2780.nii,159327
load_img,12.117324113845825,12.190362453460693,bigbrain_0_4228_4865.nii,159334
increment_data,12.191023826599121,22.327261209487915,bigbrain_0_4228_4865.nii,159334
save_incremented,22.327497720718384,46.47844982147217,bigbrain_0_4228_4865.nii,159334
load_img,12.296279668807983,12.387807369232178,bigbrain_0_2416_4865.nii,159343
increment_data,12.388928413391113,22.692760944366455,bigbrain_0_2416_4865.nii,159343
save_incremented,22.693530559539795,26.384889602661133,bigbrain_0_2416_4865.nii,159343
load_img,12.445054769515991,12.447981119155884,bigbrain_0_2416_4865.nii,159337
increment_data,12.448782682418823,22.69135570526123,bigbrain_0_2416_4865.nii,159337
save_incremented,22.69186234474182,26.412842273712158,bigbrain_0_2416_4865.nii,159337
load_img,12.35474967956543,12.478178262710571,bigbrain_0_4228_6255.nii,159331
increment_data,12.478999853134155,22.91219425201416,bigbrain_0_4228_6255.nii,159331
save_incremented,22.912984371185303,25.926445722579956,bigbrain_0_4228_6255.nii,159331
load_img,12.397943496704102,12.47821831703186,bigbrain_0_4228_6255.nii,159325
increment_data,12.479057788848877,22.91173243522644,bigbrain_0_4228_6255.nii,159325
save_incremented,22.91227912902832,26.808831214904785,bigbrain_0_4228_6255.nii,159325
load_img,12.624182224273682,12.625894546508789,bigbrain_0_2416_4865.nii,159340
increment_data,12.626483917236328,22.689642667770386,bigbrain_0_2416_4865.nii,159340
save_incremented,22.689932107925415,26.517971992492676,bigbrain_0_2416_4865.nii,159340
load_img,12.718782424926758,12.721646785736084,bigbrain_0_4228_6255.nii,159346
increment_data,12.722199440002441,22.912346601486206,bigbrain_0_4228_6255.nii,159346
save_incremented,22.91305375099182,26.121581077575684,bigbrain_0_4228_6255.nii,159346
load_img,12.935529470443726,12.938337802886963,bigbrain_0_2416_2780.nii,159349
increment_data,12.938874006271362,22.226627588272095,bigbrain_0_2416_2780.nii,159349
save_incremented,22.227014780044556,55.69767761230469,bigbrain_0_2416_2780.nii,159349
load_img,12.842952489852905,12.983185529708862,bigbrain_0_3624_695.nii,159352
increment_data,12.984086513519287,22.81585693359375,bigbrain_0_3624_695.nii,159352
save_incremented,22.826369047164917,77.92496180534363,bigbrain_0_3624_695.nii,159352
load_img,13.045432806015015,13.048587560653687,bigbrain_0_3624_695.nii,159355
increment_data,13.049252033233643,22.817673206329346,bigbrain_0_3624_695.nii,159355
save_incremented,22.82780647277832,76.46624207496643,bigbrain_0_3624_695.nii,159355
load_img,13.157985210418701,13.160014867782593,bigbrain_0_2416_2780.nii,159361
increment_data,13.160600662231445,22.3471200466156,bigbrain_0_2416_2780.nii,159361
save_incremented,22.347394466400146,56.45915746688843,bigbrain_0_2416_2780.nii,159361
load_img,13.212615728378296,13.214453935623169,bigbrain_0_4228_4865.nii,159381
increment_data,13.214994668960571,22.19871234893799,bigbrain_0_4228_4865.nii,159381
save_incremented,22.198984622955322,46.719945192337036,bigbrain_0_4228_4865.nii,159381
load_img,13.233597993850708,13.23665452003479,bigbrain_0_2416_2780.nii,159373
increment_data,13.23749041557312,22.34717583656311,bigbrain_0_2416_2780.nii,159373
save_incremented,22.347434997558594,23.78643560409546,bigbrain_0_2416_2780.nii,159373
load_img,13.26982569694519,13.271736860275269,bigbrain_0_2416_4865.nii,159389
increment_data,13.272315979003906,22.687888622283936,bigbrain_0_2416_4865.nii,159389
save_incremented,22.688247442245483,82.39401412010193,bigbrain_0_2416_4865.nii,159389
load_img,13.118304014205933,13.278335094451904,bigbrain_0_3020_4865.nii,159358
increment_data,13.279164791107178,22.995769500732422,bigbrain_0_3020_4865.nii,159358
save_incremented,22.996029138565063,25.166480541229248,bigbrain_0_3020_4865.nii,159358
load_img,13.32177209854126,13.324063301086426,bigbrain_0_4228_4865.nii,159377
