driver_program,0,3792.2714579105377,/home/users/vhayots/spark-1570922414-isilonAD_1it_96cpus_0delay_npc_em-2,allfiles
load_img,1071.0125539302826,1071.0165507793427,bigbrain_0_3020_3475.nii,161498
increment_data,1143.1451289653778,1144.9250493049622,bigbrain_0_3020_3475.nii,161498
save_incremented,1242.132250547409,1295.1036093235016,bigbrain_0_3020_3475.nii,161498
load_img,741.0184442996979,744.7124450206757,bigbrain_0_4228_0.nii,161282
increment_data,823.4636223316193,859.2265212535858,bigbrain_0_4228_0.nii,161282
save_incremented,983.2582719326019,1071.7938175201416,bigbrain_0_4228_0.nii,161282
load_img,2216.659276485443,2216.9355976581573,bigbrain_0_0_4170.nii,161379
increment_data,2286.478042125702,2289.01886510849,bigbrain_0_0_4170.nii,161379
save_incremented,2405.1966218948364,2515.5861263275146,bigbrain_0_0_4170.nii,161379
load_img,1387.8807282447815,1391.0444416999817,bigbrain_0_1812_2780.nii,161599
increment_data,1454.238976240158,1455.4423105716705,bigbrain_0_1812_2780.nii,161599
save_incremented,1537.6920340061188,1629.4270694255829,bigbrain_0_1812_2780.nii,161599
load_img,12.494124174118042,12.794336795806885,bigbrain_0_3624_695.nii,161291
increment_data,18.40024423599243,29.42782950401306,bigbrain_0_3624_695.nii,161291
save_incremented,40.61321187019348,52.72252917289734,bigbrain_0_3624_695.nii,161291
load_img,208.4421465396881,208.4501280784607,bigbrain_0_0_0.nii,161309
increment_data,252.88858699798584,261.43848299980164,bigbrain_0_0_0.nii,161309
save_incremented,326.83415031433105,441.8131411075592,bigbrain_0_0_0.nii,161309
load_img,224.45063591003418,257.8058772087097,bigbrain_0_1812_4170.nii,161341
increment_data,323.288535118103,328.3046588897705,bigbrain_0_1812_4170.nii,161341
save_incremented,410.59661960601807,466.3243639469147,bigbrain_0_1812_4170.nii,161341
load_img,426.1296708583832,426.5495653152466,bigbrain_0_1812_4170.nii,161579
increment_data,487.307124376297,488.4259440898895,bigbrain_0_1812_4170.nii,161579
save_incremented,559.0082759857178,641.082111120224,bigbrain_0_1812_4170.nii,161579
load_img,210.720543384552,210.72618007659912,bigbrain_0_1208_695.nii,161337
increment_data,261.06967639923096,263.6674201488495,bigbrain_0_1208_695.nii,161337
save_incremented,330.566162109375,448.899272441864,bigbrain_0_1208_695.nii,161337
load_img,879.472020149231,888.9556486606598,bigbrain_0_0_2780.nii,161610
increment_data,1019.0432710647583,1021.8785758018494,bigbrain_0_0_2780.nii,161610
save_incremented,1082.6824405193329,1132.090616941452,bigbrain_0_0_2780.nii,161610
load_img,84.6049451828003,84.60799217224121,bigbrain_0_2416_2780.nii,161649
increment_data,122.61418151855469,131.2529730796814,bigbrain_0_2416_2780.nii,161649
save_incremented,211.6848316192627,419.44003462791443,bigbrain_0_2416_2780.nii,161649
load_img,874.4092028141022,874.4130275249481,bigbrain_0_3020_6255.nii,161300
increment_data,997.4804646968842,999.6208128929138,bigbrain_0_3020_6255.nii,161300
save_incremented,1075.7292428016663,1110.2216849327087,bigbrain_0_3020_6255.nii,161300
load_img,722.379810333252,727.8634181022644,bigbrain_0_2416_695.nii,161274
increment_data,778.0646324157715,816.4005069732666,bigbrain_0_2416_695.nii,161274
save_incremented,928.6921241283417,985.9142670631409,bigbrain_0_2416_695.nii,161274
load_img,1268.5532939434052,1291.8935420513153,bigbrain_0_0_2085.nii,161400
increment_data,1391.9281361103058,1392.6302089691162,bigbrain_0_0_2085.nii,161400
save_incremented,1457.2782530784607,1530.138825416565,bigbrain_0_0_2085.nii,161400
load_img,3364.2604315280914,3365.4318363666534,bigbrain_0_3624_5560.nii,161678
increment_data,3424.0963039398193,3428.9499819278717,bigbrain_0_3624_5560.nii,161678
save_incremented,3481.0669088363647,3536.092944383621,bigbrain_0_3624_5560.nii,161678
load_img,2938.817143678665,2938.8212566375732,bigbrain_0_3020_1390.nii,161454
increment_data,3016.3664021492004,3017.526337623596,bigbrain_0_3020_1390.nii,161454
save_incremented,3107.8886153697968,3203.190626144409,bigbrain_0_3020_1390.nii,161454
load_img,2039.685956478119,2039.6899244785309,bigbrain_0_2416_4170.nii,161518
increment_data,2146.9113607406616,2149.007535457611,bigbrain_0_2416_4170.nii,161518
save_incremented,2228.3786931037903,2367.479803800583,bigbrain_0_2416_4170.nii,161518
load_img,2569.3755464553833,2569.379851579666,bigbrain_0_0_4865.nii,161632
increment_data,2645.631662607193,2646.5082337856293,bigbrain_0_0_4865.nii,161632
save_incremented,2768.1741547584534,2855.797830581665,bigbrain_0_0_4865.nii,161632
load_img,2198.9567596912384,2198.961000442505,bigbrain_0_2416_1390.nii,161610
increment_data,2263.870790719986,2264.781545162201,bigbrain_0_2416_1390.nii,161610
save_incremented,2371.960797071457,2440.0279285907745,bigbrain_0_2416_1390.nii,161610
load_img,882.7797522544861,888.9551348686218,bigbrain_0_0_2780.nii,161624
increment_data,1018.410514831543,1021.7745344638824,bigbrain_0_0_2780.nii,161624
save_incremented,1082.388290643692,1162.7931396961212,bigbrain_0_0_2780.nii,161624
load_img,67.38490867614746,67.38794469833374,bigbrain_0_4228_4865.nii,161535
increment_data,106.6444718837738,107.34502673149109,bigbrain_0_4228_4865.nii,161535
save_incremented,134.53550386428833,293.3451063632965,bigbrain_0_4228_4865.nii,161535
load_img,408.5283522605896,409.0862421989441,bigbrain_0_4228_695.nii,161632
