driver_program,0,221.1661183834076,/dev/shm/val/spark-1570966655-tmpfs_1it_96cpus_0delay_npc-1,allfiles
load_img,219.83041787147522,219.8322398662567,bigbrain_6160_3624_695.nii,114530
increment_data,219.83264636993408,220.45469665527344,bigbrain_6160_3624_695.nii,114530
save_incremented,220.45537853240967,221.12290835380554,bigbrain_6160_3624_695.nii,114530
load_img,218.80126452445984,218.8022255897522,bigbrain_4620_1208_1390.nii,114449
increment_data,218.802410364151,219.5129280090332,bigbrain_4620_1208_1390.nii,114449
save_incremented,219.51315426826477,220.32651448249817,bigbrain_4620_1208_1390.nii,114449
load_img,218.51282453536987,218.51437830924988,bigbrain_5390_1812_2780.nii,114530
increment_data,218.51459670066833,219.1561198234558,bigbrain_5390_1812_2780.nii,114530
save_incremented,219.15640211105347,219.82789659500122,bigbrain_5390_1812_2780.nii,114530
load_img,217.30225324630737,217.3032259941101,bigbrain_6930_1812_2780.nii,114530
increment_data,217.30341911315918,217.91743636131287,bigbrain_6930_1812_2780.nii,114530
save_incremented,217.9176585674286,218.50930428504944,bigbrain_6930_1812_2780.nii,114530
load_img,217.16492199897766,217.16606092453003,bigbrain_0_2416_2780.nii,114449
increment_data,217.16627407073975,218.01887035369873,bigbrain_0_2416_2780.nii,114449
save_incremented,218.01904153823853,218.79830193519592,bigbrain_0_2416_2780.nii,114449
load_img,216.68165159225464,216.68256640434265,bigbrain_3080_5436_2780.nii,114493
increment_data,216.68272757530212,217.43463969230652,bigbrain_3080_5436_2780.nii,114493
save_incremented,217.4347813129425,218.08491158485413,bigbrain_3080_5436_2780.nii,114493
load_img,215.91298484802246,215.9139323234558,bigbrain_770_5436_2780.nii,114449
increment_data,215.91410088539124,216.51761198043823,bigbrain_770_5436_2780.nii,114449
save_incremented,216.51811599731445,217.1615025997162,bigbrain_770_5436_2780.nii,114449
load_img,215.6668083667755,215.66788411140442,bigbrain_3850_2416_695.nii,114530
increment_data,215.6680886745453,216.45576095581055,bigbrain_3850_2416_695.nii,114530
save_incremented,216.45594143867493,217.29929494857788,bigbrain_3850_2416_695.nii,114530
load_img,215.32653379440308,215.327490568161,bigbrain_0_604_2085.nii,114493
increment_data,215.32789754867554,215.98109912872314,bigbrain_0_604_2085.nii,114493
save_incremented,215.98123741149902,216.67926502227783,bigbrain_0_604_2085.nii,114493
