driver_program,0,5286.379516839981,/home/users/vhayots/spark-1570981778-isilon_1it_25cpus_60sdelay_withpc_em-0,allfiles
load_img,1824.6001989841461,1860.4755682945251,bigbrain_0_0_3475.nii,117725
increment_data,1874.9337177276611,1878.04540681839,bigbrain_0_0_3475.nii,117725
save_incremented,1888.761251449585,1948.1961541175842,bigbrain_0_0_3475.nii,117725
load_img,4517.537029743195,4543.173637151718,bigbrain_0_0_3475.nii,117719
increment_data,4575.578853130341,4581.742741823196,bigbrain_0_0_3475.nii,117719
save_incremented,4590.58428812027,4631.702006101608,bigbrain_0_0_3475.nii,117719
load_img,2915.9596247673035,2920.513634443283,bigbrain_0_4228_1390.nii,117764
increment_data,2958.9749162197113,2976.027624130249,bigbrain_0_4228_1390.nii,117764
save_incremented,2985.6850442886353,3016.0187752246857,bigbrain_0_4228_1390.nii,117764
load_img,2860.774260044098,2863.908716917038,bigbrain_0_1208_2780.nii,117772
increment_data,2876.3614847660065,2881.1406178474426,bigbrain_0_1208_2780.nii,117772
save_incremented,2910.678368330002,2988.6420471668243,bigbrain_0_1208_2780.nii,117772
load_img,1266.341243505478,1290.53711104393,bigbrain_0_0_6255.nii,117713
increment_data,1299.2833800315857,1301.1829125881195,bigbrain_0_0_6255.nii,117713
save_incremented,1306.6095457077026,1387.2017722129822,bigbrain_0_0_6255.nii,117713
load_img,3159.3035700321198,3201.6446375846863,bigbrain_0_1812_2780.nii,117756
increment_data,3236.9113137722015,3250.360860347748,bigbrain_0_1812_2780.nii,117756
save_incremented,3265.3103997707367,3302.9076266288757,bigbrain_0_1812_2780.nii,117756
load_img,4175.865755319595,4181.859002113342,bigbrain_0_1208_2780.nii,117728
increment_data,4195.673935890198,4208.987447023392,bigbrain_0_1208_2780.nii,117728
save_incremented,4238.055312156677,4314.174362659454,bigbrain_0_1208_2780.nii,117728
load_img,1963.2051107883453,2010.482933998108,bigbrain_0_3624_2085.nii,117725
increment_data,2024.8246250152588,2027.5305716991425,bigbrain_0_3624_2085.nii,117725
save_incremented,2040.1301369667053,2103.483866453171,bigbrain_0_3624_2085.nii,117725
load_img,3313.3482608795166,3360.560003757477,bigbrain_0_4228_5560.nii,117722
increment_data,3395.331402540207,3401.6424691677094,bigbrain_0_4228_5560.nii,117722
save_incremented,3404.848494052887,3444.6261851787567,bigbrain_0_4228_5560.nii,117722
load_img,41.38862895965576,46.23211908340454,bigbrain_0_4228_6255.nii,117784
increment_data,59.71389675140381,61.22149419784546,bigbrain_0_4228_6255.nii,117784
save_incremented,74.98552417755127,137.59601187705994,bigbrain_0_4228_6255.nii,117784
load_img,307.74530577659607,308.54493403434753,bigbrain_0_2416_695.nii,117713
increment_data,315.0380859375,321.223384141922,bigbrain_0_2416_695.nii,117713
save_incremented,335.1791663169861,375.77668809890747,bigbrain_0_2416_695.nii,117713
load_img,2278.378301382065,2288.6198036670685,bigbrain_0_4228_4170.nii,117751
increment_data,2316.84996175766,2327.8354201316833,bigbrain_0_4228_4170.nii,117751
save_incremented,2342.8523116111755,2395.949704170227,bigbrain_0_4228_4170.nii,117751
load_img,3679.2251970767975,3697.243118286133,bigbrain_0_3020_5560.nii,117710
increment_data,3725.901937007904,3733.9960148334503,bigbrain_0_3020_5560.nii,117710
save_incremented,3745.961275577545,3801.663523197174,bigbrain_0_3020_5560.nii,117710
load_img,2204.0551631450653,2255.929831504822,bigbrain_0_3624_5560.nii,117716
increment_data,2273.8560519218445,2282.274843931198,bigbrain_0_3624_5560.nii,117716
save_incremented,2288.017712831497,2338.11593914032,bigbrain_0_3624_5560.nii,117716
load_img,1519.2892549037933,1553.3768963813782,bigbrain_0_2416_695.nii,117737
increment_data,1571.6965863704681,1573.602023601532,bigbrain_0_2416_695.nii,117737
save_incremented,1591.0895187854767,1637.084994316101,bigbrain_0_2416_695.nii,117737
load_img,2975.5766503810883,2992.275042772293,bigbrain_0_2416_0.nii,117746
increment_data,2999.7623929977417,3004.005384206772,bigbrain_0_2416_0.nii,117746
save_incremented,3016.5173206329346,3092.42880654335,bigbrain_0_2416_0.nii,117746
load_img,4164.409282922745,4166.428583145142,bigbrain_0_4228_2780.nii,117705
increment_data,4180.651881694794,4190.21607875824,bigbrain_0_4228_2780.nii,117705
save_incremented,4202.8718683719635,4253.554517745972,bigbrain_0_4228_2780.nii,117705
load_img,889.3615598678589,890.5860188007355,bigbrain_0_1812_0.nii,117740
increment_data,919.3416609764099,928.1529371738434,bigbrain_0_1812_0.nii,117740
save_incremented,934.5243399143219,999.8485891819,bigbrain_0_1812_0.nii,117740
load_img,4101.002812862396,4113.800565481186,bigbrain_0_0_0.nii,117787
increment_data,4151.743417024612,4158.128052949905,bigbrain_0_0_0.nii,117787
save_incremented,4175.69219660759,4221.076295137405,bigbrain_0_0_0.nii,117787
load_img,1464.3066170215607,1488.866972208023,bigbrain_0_4228_695.nii,117776
increment_data,1496.4188423156738,1498.213196516037,bigbrain_0_4228_695.nii,117776
save_incremented,1520.1756711006165,1569.5053098201752,bigbrain_0_4228_695.nii,117776
load_img,3956.2138295173645,4000.1478049755096,bigbrain_0_4228_4865.nii,117780
increment_data,4034.221511363983,4043.697629213333,bigbrain_0_4228_4865.nii,117780
save_incremented,4052.609297275543,4095.656318426132,bigbrain_0_4228_4865.nii,117780
load_img,2214.883628845215,2264.0107209682465,bigbrain_0_3020_0.nii,117719
increment_data,2273.6509733200073,2274.692974090576,bigbrain_0_3020_0.nii,117719
save_incremented,2291.168409347534,2375.294533252716,bigbrain_0_3020_0.nii,117719
load_img,1529.7920293807983,1562.9627282619476,bigbrain_0_1208_2780.nii,117704
increment_data,1579.430927991867,1583.464457988739,bigbrain_0_1208_2780.nii,117704
save_incremented,1595.7098758220673,1644.5582835674286,bigbrain_0_1208_2780.nii,117704
load_img,366.5929169654846,367.9657802581787,bigbrain_0_4228_1390.nii,117776
increment_data,382.52196526527405,387.5876326560974,bigbrain_0_4228_1390.nii,117776
save_incremented,391.5831639766693,426.38304567337036,bigbrain_0_4228_1390.nii,117776
load_img,1857.4752006530762,1870.9347295761108,bigbrain_0_1208_2085.nii,117776
increment_data,1880.8425695896149,1885.4213273525238,bigbrain_0_1208_2085.nii,117776
save_incremented,1897.6684613227844,1966.69957113266,bigbrain_0_1208_2085.nii,117776
load_img,1963.8021879196167,1995.8181836605072,bigbrain_0_3624_3475.nii,117728
increment_data,2018.0388281345367,2022.7753810882568,bigbrain_0_3624_3475.nii,117728
save_incremented,2028.9529972076416,2075.765018939972,bigbrain_0_3624_3475.nii,117728
load_img,1809.3465521335602,1830.1348123550415,bigbrain_0_3020_695.nii,117760
increment_data,1851.7434496879578,1853.090502500534,bigbrain_0_3020_695.nii,117760
save_incremented,1870.3189334869385,1959.2843358516693,bigbrain_0_3020_695.nii,117760
load_img,3866.022089958191,3907.542140483856,bigbrain_0_3624_6255.nii,117784
increment_data,3931.4932911396027,3936.24476146698,bigbrain_0_3624_6255.nii,117784
save_incremented,3945.191359758377,3981.0431463718414,bigbrain_0_3624_6255.nii,117784
load_img,3776.7286081314087,3803.9894750118256,bigbrain_0_3624_4170.nii,117794
increment_data,3815.4006934165955,3821.766718149185,bigbrain_0_3624_4170.nii,117794
save_incremented,3841.204392671585,3886.303364753723,bigbrain_0_3624_4170.nii,117794
load_img,495.11091017723083,495.11535024642944,bigbrain_0_1812_2780.nii,117784
increment_data,502.06331610679626,535.4065010547638,bigbrain_0_1812_2780.nii,117784
save_incremented,549.5989987850189,626.0694031715393,bigbrain_0_1812_2780.nii,117784
load_img,3330.716851711273,3348.668139219284,bigbrain_0_1208_1390.nii,117746
increment_data,3392.1674842834473,3399.213788986206,bigbrain_0_1208_1390.nii,117746
save_incremented,3404.286862850189,3442.283723592758,bigbrain_0_1208_1390.nii,117746
load_img,345.4385199546814,349.9325940608978,bigbrain_0_4228_2085.nii,117740
increment_data,367.96151661872864,404.0030963420868,bigbrain_0_4228_2085.nii,117740
save_incremented,411.91400623321533,450.1055977344513,bigbrain_0_4228_2085.nii,117740
load_img,1390.880789756775,1398.8994843959808,bigbrain_0_3624_695.nii,117710
increment_data,1412.554533481598,1414.6811845302582,bigbrain_0_3624_695.nii,117710
save_incremented,1433.0566148757935,1484.6480841636658,bigbrain_0_3624_695.nii,117710
load_img,5093.407465457916,5103.597605228424,bigbrain_0_0_695.nii,117710
increment_data,5113.0571620464325,5116.668973445892,bigbrain_0_0_695.nii,117710
save_incremented,5120.708315849304,5186.543904304504,bigbrain_0_0_695.nii,117710
load_img,947.8456563949585,957.9553039073944,bigbrain_0_1812_1390.nii,117751
increment_data,967.9466032981873,1002.953528881073,bigbrain_0_1812_1390.nii,117751
save_incremented,1014.3818702697754,1050.8677337169647,bigbrain_0_1812_1390.nii,117751
load_img,642.2609534263611,645.3816118240356,bigbrain_0_2416_6255.nii,117776
