driver_program,0,169.26233792304993,/dev/shm/val/spark-1571384289-tmpfs_1it_25cpus_60delay_withpc-0,allfiles
load_img,167.958149433136,167.9592113494873,bigbrain_3850_604_5560.nii,133213
increment_data,167.95939254760742,168.61841106414795,bigbrain_3850_604_5560.nii,133213
save_incremented,168.6185793876648,169.22504043579102,bigbrain_3850_604_5560.nii,133213
load_img,166.95035552978516,166.9514937400818,bigbrain_3850_604_0.nii,133253
increment_data,166.9516944885254,167.7092912197113,bigbrain_3850_604_0.nii,133253
save_incremented,167.7094910144806,168.37293815612793,bigbrain_3850_604_0.nii,133253
load_img,166.5816125869751,166.58270406723022,bigbrain_6930_5436_695.nii,133213
increment_data,166.58288836479187,167.27868938446045,bigbrain_6930_5436_695.nii,133213
save_incremented,167.27887296676636,167.9554455280304,bigbrain_6930_5436_695.nii,133213
load_img,166.46482348442078,166.46576046943665,bigbrain_4620_4228_2780.nii,133184
increment_data,166.46593046188354,167.15795254707336,bigbrain_4620_4228_2780.nii,133184
save_incremented,167.1580991744995,167.9806170463562,bigbrain_4620_4228_2780.nii,133184
load_img,166.14712977409363,166.14817667007446,bigbrain_2310_5436_695.nii,133239
increment_data,166.14835476875305,166.886705160141,bigbrain_2310_5436_695.nii,133239
save_incremented,166.88687658309937,167.9675853252411,bigbrain_2310_5436_695.nii,133239
load_img,165.3769223690033,165.3781704902649,bigbrain_770_1812_1390.nii,133253
increment_data,165.37841272354126,166.26547574996948,bigbrain_770_1812_1390.nii,133253
save_incremented,166.26565599441528,166.9478440284729,bigbrain_770_1812_1390.nii,133253
load_img,165.04911041259766,165.05024194717407,bigbrain_3850_1812_4170.nii,133184
increment_data,165.05051851272583,165.9800570011139,bigbrain_3850_1812_4170.nii,133184
save_incremented,165.9802086353302,166.46221041679382,bigbrain_3850_1812_4170.nii,133184
load_img,164.99280953407288,164.99395895004272,bigbrain_6930_3020_5560.nii,133213
increment_data,164.9941532611847,165.87826657295227,bigbrain_6930_3020_5560.nii,133213
save_incremented,165.87844967842102,166.57905077934265,bigbrain_6930_3020_5560.nii,133213
load_img,164.86026310920715,164.86134386062622,bigbrain_1540_1208_1390.nii,133256
increment_data,164.861554145813,165.50015592575073,bigbrain_1540_1208_1390.nii,133256
save_incremented,165.5003023147583,166.17649793624878,bigbrain_1540_1208_1390.nii,133256
load_img,164.63191199302673,164.63303780555725,bigbrain_770_0_2780.nii,133239
increment_data,164.63322234153748,165.43737649917603,bigbrain_770_0_2780.nii,133239
save_incremented,165.43758344650269,166.14454531669617,bigbrain_770_0_2780.nii,133239
load_img,164.48214888572693,164.4831190109253,bigbrain_4620_604_2780.nii,133201
increment_data,164.48330068588257,165.24619603157043,bigbrain_4620_604_2780.nii,133201
save_incremented,165.24635577201843,166.00073528289795,bigbrain_4620_604_2780.nii,133201
load_img,164.06395363807678,164.06488013267517,bigbrain_6930_1812_0.nii,133198
increment_data,164.06505966186523,164.91955018043518,bigbrain_6930_1812_0.nii,133198
save_incremented,164.91976523399353,165.5195677280426,bigbrain_6930_1812_0.nii,133198
load_img,163.57085371017456,163.57245302200317,bigbrain_1540_4228_2780.nii,133253
increment_data,163.57269096374512,164.58666920661926,bigbrain_1540_4228_2780.nii,133253
save_incremented,164.58682131767273,165.3730022907257,bigbrain_1540_4228_2780.nii,133253
load_img,163.43726086616516,163.43843173980713,bigbrain_4620_5436_2085.nii,133184
increment_data,163.43867182731628,164.44711232185364,bigbrain_4620_5436_2085.nii,133184
save_incremented,164.44726610183716,165.04587078094482,bigbrain_4620_5436_2085.nii,133184
load_img,163.3601884841919,163.36158156394958,bigbrain_1540_1812_2780.nii,133213
increment_data,163.36186456680298,164.2999062538147,bigbrain_1540_1812_2780.nii,133213
save_incremented,164.3000943660736,164.990131855011,bigbrain_1540_1812_2780.nii,133213
load_img,163.26999402046204,163.27106833457947,bigbrain_6930_2416_5560.nii,133256
increment_data,163.271315574646,164.0980966091156,bigbrain_6930_2416_5560.nii,133256
save_incremented,164.09829187393188,164.85742259025574,bigbrain_6930_2416_5560.nii,133256
load_img,163.0505940914154,163.05160474777222,bigbrain_6160_604_0.nii,133239
increment_data,163.05180859565735,163.92745733261108,bigbrain_6160_604_0.nii,133239
save_incremented,163.92762923240662,164.62865090370178,bigbrain_6160_604_0.nii,133239
load_img,162.877108335495,162.87811017036438,bigbrain_0_0_5560.nii,133201
increment_data,162.8783142566681,163.6704363822937,bigbrain_0_0_5560.nii,133201
save_incremented,163.67072534561157,164.4790506362915,bigbrain_0_0_5560.nii,133201
load_img,162.7817702293396,162.78280353546143,bigbrain_770_1208_4865.nii,133195
increment_data,162.7829806804657,163.6165783405304,bigbrain_770_1208_4865.nii,133195
save_incremented,163.61693358421326,164.2159206867218,bigbrain_770_1208_4865.nii,133195
load_img,162.64542365074158,162.64640927314758,bigbrain_3080_604_695.nii,133198
increment_data,162.64660239219666,163.46017837524414,bigbrain_3080_604_695.nii,133198
save_incremented,163.46034455299377,164.06131863594055,bigbrain_3080_604_695.nii,133198
load_img,161.67809867858887,161.68408250808716,bigbrain_6160_4832_4865.nii,133253
increment_data,161.68583297729492,162.9242763519287,bigbrain_6160_4832_4865.nii,133253
save_incremented,162.92444109916687,163.56557726860046,bigbrain_6160_4832_4865.nii,133253
load_img,161.40987253189087,161.4125156402588,bigbrain_770_2416_1390.nii,133184
increment_data,161.4136872291565,162.73302054405212,bigbrain_770_2416_1390.nii,133184
save_incremented,162.7331805229187,163.43398523330688,bigbrain_770_2416_1390.nii,133184
load_img,161.18758726119995,161.19046711921692,bigbrain_6160_3020_4865.nii,133256
