driver_program,0,222.9835593700409,/dev/shm/val/spark-1571385430-tmpfs_1it_96cpus_0delay_npc-0,allfiles
load_img,221.59453678131104,221.59550952911377,bigbrain_3080_5436_2780.nii,134295
increment_data,221.59569144248962,222.20389008522034,bigbrain_3080_5436_2780.nii,134295
save_incremented,222.20403027534485,222.92557168006897,bigbrain_3080_5436_2780.nii,134295
load_img,220.27653765678406,220.27742624282837,bigbrain_0_604_2085.nii,134295
increment_data,220.27759051322937,220.8878743648529,bigbrain_0_604_2085.nii,134295
save_incremented,220.88801383972168,221.5921790599823,bigbrain_0_604_2085.nii,134295
load_img,218.9827151298523,218.98359560966492,bigbrain_0_4832_0.nii,134295
increment_data,218.98377227783203,219.59068298339844,bigbrain_0_4832_0.nii,134295
save_incremented,219.59082674980164,220.27419185638428,bigbrain_0_4832_0.nii,134295
load_img,217.69965600967407,217.70052766799927,bigbrain_2310_604_2085.nii,134295
increment_data,217.70070123672485,218.3098533153534,bigbrain_2310_604_2085.nii,134295
save_incremented,218.3099980354309,218.98036575317383,bigbrain_2310_604_2085.nii,134295
load_img,216.40433645248413,216.40630412101746,bigbrain_5390_0_1390.nii,134295
increment_data,216.40691423416138,217.01661849021912,bigbrain_5390_0_1390.nii,134295
save_incremented,217.01677465438843,217.6973786354065,bigbrain_5390_0_1390.nii,134295
load_img,215.3533432483673,215.35424518585205,bigbrain_6930_5436_1390.nii,134295
increment_data,215.35441637039185,215.96383094787598,bigbrain_6930_5436_1390.nii,134295
save_incremented,215.96400570869446,216.40131092071533,bigbrain_6930_5436_1390.nii,134295
load_img,214.19076824188232,214.1917519569397,bigbrain_3080_4228_4865.nii,134295
increment_data,214.19194507598877,214.92024493217468,bigbrain_3080_4228_4865.nii,134295
save_incremented,214.92039155960083,215.35100293159485,bigbrain_3080_4228_4865.nii,134295
load_img,212.68881583213806,212.69082736968994,bigbrain_5390_0_695.nii,134226
increment_data,212.691424369812,214.28311276435852,bigbrain_5390_0_695.nii,134226
save_incremented,214.28324508666992,214.82904076576233,bigbrain_5390_0_695.nii,134226
load_img,211.75710344314575,211.75890350341797,bigbrain_2310_4832_0.nii,134146
increment_data,211.75966715812683,213.8043212890625,bigbrain_2310_4832_0.nii,134146
save_incremented,213.80449628829956,214.595778465271,bigbrain_2310_4832_0.nii,134146
load_img,211.6295895576477,211.63200545310974,bigbrain_5390_2416_3475.nii,134330
increment_data,211.6323094367981,213.74083495140076,bigbrain_5390_2416_3475.nii,134330
save_incremented,213.74103379249573,214.52220344543457,bigbrain_5390_2416_3475.nii,134330
load_img,211.61819744110107,211.61956596374512,bigbrain_3850_5436_5560.nii,134295
increment_data,211.619957447052,213.60899710655212,bigbrain_3850_5436_5560.nii,134295
save_incremented,213.60921597480774,214.18808436393738,bigbrain_3850_5436_5560.nii,134295
load_img,211.5554301738739,211.55716586112976,bigbrain_0_604_0.nii,134313
increment_data,211.5575292110443,213.55746054649353,bigbrain_0_604_0.nii,134313
save_incremented,213.5577130317688,214.4688138961792,bigbrain_0_604_0.nii,134313
load_img,211.54324173927307,211.54504132270813,bigbrain_770_5436_1390.nii,134452
increment_data,211.54551196098328,213.53147268295288,bigbrain_770_5436_1390.nii,134452
save_incremented,213.53182458877563,214.2820601463318,bigbrain_770_5436_1390.nii,134452
load_img,211.50686192512512,211.5088427066803,bigbrain_4620_5436_695.nii,134429
increment_data,211.5092260837555,213.6121790409088,bigbrain_4620_5436_695.nii,134429
save_incremented,213.61238026618958,214.4730532169342,bigbrain_4620_5436_695.nii,134429
load_img,211.33926248550415,211.34095120429993,bigbrain_770_4832_2780.nii,134205
increment_data,211.3413269519806,213.43037486076355,bigbrain_770_4832_2780.nii,134205
save_incremented,213.4306025505066,214.2668981552124,bigbrain_770_4832_2780.nii,134205
load_img,211.30706095695496,211.30877828598022,bigbrain_5390_1208_1390.nii,134373
increment_data,211.30916094779968,213.37436413764954,bigbrain_5390_1208_1390.nii,134373
save_incremented,213.37474846839905,214.3641152381897,bigbrain_5390_1208_1390.nii,134373
load_img,211.27724027633667,211.27859544754028,bigbrain_770_1812_4865.nii,134320
increment_data,211.27886652946472,213.37612462043762,bigbrain_770_1812_4865.nii,134320
save_incremented,213.37671756744385,214.25839519500732,bigbrain_770_1812_4865.nii,134320
load_img,211.26050400733948,211.26210474967957,bigbrain_3850_604_5560.nii,134217
increment_data,211.26243472099304,213.1485664844513,bigbrain_3850_604_5560.nii,134217
save_incremented,213.1489715576172,214.08179187774658,bigbrain_3850_604_5560.nii,134217
load_img,211.17047429084778,211.17263555526733,bigbrain_4620_1208_4170.nii,134153
increment_data,211.1729986667633,212.89047718048096,bigbrain_4620_1208_4170.nii,134153
save_incremented,212.89299416542053,213.6096374988556,bigbrain_4620_1208_4170.nii,134153
load_img,211.1029167175293,211.10449957847595,bigbrain_4620_4228_4865.nii,134424
increment_data,211.10496640205383,213.09501767158508,bigbrain_4620_4228_4865.nii,134424
save_incremented,213.09663844108582,214.20891284942627,bigbrain_4620_4228_4865.nii,134424
load_img,211.09829187393188,211.0995545387268,bigbrain_2310_5436_3475.nii,134100
increment_data,211.0999047756195,212.82380056381226,bigbrain_2310_5436_3475.nii,134100
save_incremented,212.82427263259888,213.9244990348816,bigbrain_2310_5436_3475.nii,134100
load_img,210.2588164806366,210.2617290019989,bigbrain_1540_3020_695.nii,134418
increment_data,210.26214861869812,211.5499107837677,bigbrain_1540_3020_695.nii,134418
save_incremented,211.55025362968445,213.327401638031,bigbrain_1540_3020_695.nii,134418
load_img,209.36649537086487,209.3682734966278,bigbrain_3080_5436_6255.nii,134295
increment_data,209.36884951591492,211.14276123046875,bigbrain_3080_5436_6255.nii,134295
save_incremented,211.1429352760315,211.61538934707642,bigbrain_3080_5436_6255.nii,134295
load_img,208.69309949874878,208.7027244567871,bigbrain_1540_0_2085.nii,134362
increment_data,208.70405960083008,211.25490427017212,bigbrain_1540_0_2085.nii,134362
save_incremented,211.2550950050354,212.95670437812805,bigbrain_1540_0_2085.nii,134362
load_img,207.8481800556183,207.85553097724915,bigbrain_6160_4832_3475.nii,134317
increment_data,207.85724401474,210.34003806114197,bigbrain_6160_4832_3475.nii,134317
save_incremented,210.34034633636475,211.0953025817871,bigbrain_6160_4832_3475.nii,134317
load_img,207.77708959579468,207.7903287410736,bigbrain_0_604_6255.nii,134113
increment_data,207.79114079475403,210.27386736869812,bigbrain_0_604_6255.nii,134113
save_incremented,210.274160861969,211.05547785758972,bigbrain_0_604_6255.nii,134113
load_img,207.6640694141388,207.66587901115417,bigbrain_4620_1208_1390.nii,134172
increment_data,207.66625118255615,210.1753008365631,bigbrain_4620_1208_1390.nii,134172
save_incremented,210.17547035217285,210.99260091781616,bigbrain_4620_1208_1390.nii,134172
load_img,207.62587475776672,207.6327829360962,bigbrain_4620_0_1390.nii,134226
increment_data,207.6335368156433,211.1232476234436,bigbrain_4620_0_1390.nii,134226
save_incremented,211.12345623970032,212.6783754825592,bigbrain_4620_0_1390.nii,134226
load_img,207.57490849494934,207.57720375061035,bigbrain_6930_3624_6255.nii,134070
increment_data,207.57862305641174,210.2115774154663,bigbrain_6930_3624_6255.nii,134070
