driver_program,0,7167.418877840042,/home/users/vhayots/spark-1571392383-isilon_1it_96cpus_0delay_npc-0,allfiles
load_img,34.06444716453552,47.71400022506714,bigbrain_1540_1812_6255.nii,135192
increment_data,83.22966027259827,100.6971275806427,bigbrain_1540_1812_6255.nii,135192
save_incremented,176.98495292663574,196.83616137504578,bigbrain_1540_1812_6255.nii,135192
load_img,5360.030732631683,5384.935298204422,bigbrain_1540_1812_4170.nii,135250
increment_data,5580.737106800079,5598.231067657471,bigbrain_1540_1812_4170.nii,135250
save_incremented,5602.845193386078,5862.021271705627,bigbrain_1540_1812_4170.nii,135250
load_img,5189.583974838257,5206.190862417221,bigbrain_2310_604_1390.nii,135538
increment_data,5477.608550786972,5512.579798936844,bigbrain_2310_604_1390.nii,135538
save_incremented,5583.876927852631,5747.168909788132,bigbrain_2310_604_1390.nii,135538
load_img,3318.015746831894,3339.569133758545,bigbrain_4620_3624_3475.nii,135535
increment_data,3452.4511115550995,3498.6530771255493,bigbrain_4620_3624_3475.nii,135535
save_incremented,3545.5500433444977,3768.168895483017,bigbrain_4620_3624_3475.nii,135535
load_img,4589.577086687088,4612.597850561142,bigbrain_4620_3624_695.nii,135183
increment_data,4872.14017534256,4902.001898527145,bigbrain_4620_3624_695.nii,135183
save_incremented,4978.87634563446,5154.897504091263,bigbrain_4620_3624_695.nii,135183
load_img,5188.184419155121,5206.128699541092,bigbrain_3080_5436_4170.nii,135552
increment_data,5456.156693458557,5491.082955121994,bigbrain_3080_5436_4170.nii,135552
save_incremented,5582.939633607864,5728.9299993515015,bigbrain_3080_5436_4170.nii,135552
load_img,126.30549311637878,147.58870029449463,bigbrain_3080_3020_4865.nii,135416
increment_data,430.7618417739868,464.94841480255127,bigbrain_3080_3020_4865.nii,135416
save_incremented,612.4967782497406,908.8271727561951,bigbrain_3080_3020_4865.nii,135416
load_img,5771.435830116272,5789.204318761826,bigbrain_770_5436_4170.nii,135467
increment_data,6062.199251174927,6104.364742279053,bigbrain_770_5436_4170.nii,135467
save_incremented,6170.933826446533,6314.2414565086365,bigbrain_770_5436_4170.nii,135467
load_img,3320.400133371353,3341.9649732112885,bigbrain_1540_1812_1390.nii,135402
increment_data,3476.3119077682495,3535.3160836696625,bigbrain_1540_1812_1390.nii,135402
save_incremented,3550.5788741111755,3799.0571525096893,bigbrain_1540_1812_1390.nii,135402
load_img,2192.646386861801,2214.795640230179,bigbrain_6160_3624_2780.nii,135226
increment_data,2413.052174091339,2464.3338589668274,bigbrain_6160_3624_2780.nii,135226
save_incremented,2480.264540195465,2816.4095389842987,bigbrain_6160_3624_2780.nii,135226
load_img,6168.149107217789,6188.111488103867,bigbrain_2310_4832_695.nii,135307
increment_data,6394.711635351181,6462.355264186859,bigbrain_2310_4832_695.nii,135307
save_incremented,6541.7988884449005,6635.910461425781,bigbrain_2310_4832_695.nii,135307
load_img,1564.8574810028076,1578.8502745628357,bigbrain_770_5436_3475.nii,135338
increment_data,1979.5817217826843,2021.309755563736,bigbrain_770_5436_3475.nii,135338
save_incremented,2199.9105591773987,2283.847488641739,bigbrain_770_5436_3475.nii,135338
load_img,2682.7395718097687,2697.679085254669,bigbrain_6160_4832_0.nii,135515
increment_data,3046.6224715709686,3077.3991918563843,bigbrain_6160_4832_0.nii,135515
save_incremented,3294.6882615089417,3345.6239745616913,bigbrain_6160_4832_0.nii,135515
load_img,4789.070685863495,4805.551855325699,bigbrain_4620_0_5560.nii,135370
increment_data,5087.271691083908,5126.64289021492,bigbrain_4620_0_5560.nii,135370
save_incremented,5188.604065179825,5361.492169857025,bigbrain_4620_0_5560.nii,135370
load_img,5983.938033103943,6000.427736997604,bigbrain_0_3624_4170.nii,135413
increment_data,6301.1234126091,6344.864905118942,bigbrain_0_3624_4170.nii,135413
save_incremented,6367.296902179718,6539.979056119919,bigbrain_0_3624_4170.nii,135413
load_img,5747.922722578049,5774.153856515884,bigbrain_3850_5436_2780.nii,135552
increment_data,5996.508779764175,6018.560197591782,bigbrain_3850_5436_2780.nii,135552
save_incremented,6167.002201557159,6250.665230751038,bigbrain_3850_5436_2780.nii,135552
load_img,7057.422344923019,7057.474409341812,bigbrain_2310_4832_1390.nii,135159
increment_data,7057.484095573425,7069.544594526291,bigbrain_2310_4832_1390.nii,135159
save_incremented,7069.548004627228,7081.744937181473,bigbrain_2310_4832_1390.nii,135159
load_img,5188.317539215088,5206.25527048111,bigbrain_0_2416_5560.nii,135477
increment_data,5460.773947954178,5493.516415834427,bigbrain_0_2416_5560.nii,135477
save_incremented,5583.237618923187,5736.068784236908,bigbrain_0_2416_5560.nii,135477
load_img,2381.0946278572083,2406.2019414901733,bigbrain_770_604_2780.nii,135338
increment_data,2656.71843624115,2685.5328075885773,bigbrain_770_604_2780.nii,135338
save_incremented,2697.5901272296906,2908.608221054077,bigbrain_770_604_2780.nii,135338
load_img,7033.098859548569,7033.144581794739,bigbrain_3080_0_0.nii,135159
increment_data,7033.151632070541,7045.197578907013,bigbrain_3080_0_0.nii,135159
save_incremented,7045.2266590595245,7057.415121555328,bigbrain_3080_0_0.nii,135159
load_img,4974.363163471222,4994.99684214592,bigbrain_6930_1812_3475.nii,135322
increment_data,5212.635450839996,5267.2828006744385,bigbrain_6930_1812_3475.nii,135322
save_incremented,5388.058163404465,5478.019577264786,bigbrain_6930_1812_3475.nii,135322
load_img,5418.461176395416,5422.516055822372,bigbrain_2310_3624_6255.nii,135317
increment_data,5756.268155097961,5778.672762870789,bigbrain_2310_3624_6255.nii,135317
save_incremented,5787.697641611099,6033.934814214706,bigbrain_2310_3624_6255.nii,135317
load_img,24.21572184562683,38.24814200401306,bigbrain_2310_5436_3475.nii,135180
increment_data,64.01629495620728,83.77582955360413,bigbrain_2310_5436_3475.nii,135180
save_incremented,140.42767524719238,163.3609344959259,bigbrain_2310_5436_3475.nii,135180
load_img,4588.156402587891,4611.798949480057,bigbrain_3080_5436_5560.nii,135556
increment_data,4833.2876353263855,4882.330434799194,bigbrain_3080_5436_5560.nii,135556
save_incremented,4977.663972616196,5129.457960367203,bigbrain_3080_5436_5560.nii,135556
load_img,5374.241805791855,5399.293077945709,bigbrain_0_0_6255.nii,135210
increment_data,5586.983003616333,5601.3398859500885,bigbrain_0_0_6255.nii,135210
save_incremented,5603.807801485062,5863.625951528549,bigbrain_0_0_6255.nii,135210
load_img,5944.705430269241,5977.656457662582,bigbrain_3850_4832_6255.nii,135571
increment_data,6172.574145555496,6187.349980592728,bigbrain_3850_4832_6255.nii,135571
save_incremented,6190.860639095306,6413.0735948085785,bigbrain_3850_4832_6255.nii,135571
load_img,6539.9887681007385,6556.822046756744,bigbrain_5390_0_6255.nii,135571
increment_data,6736.551331281662,6816.138156414032,bigbrain_5390_0_6255.nii,135571
save_incremented,6834.724892854691,6928.16863822937,bigbrain_5390_0_6255.nii,135571
load_img,2568.8044576644897,2579.3817665576935,bigbrain_0_4832_3475.nii,135402
increment_data,2913.0183494091034,2938.7733442783356,bigbrain_0_4832_3475.nii,135402
