driver_program,0,10477.189805269241,/home/users/vhayots/spark-1572119601-isilon_1it_96cpus_20bb-1,allfiles
load_img,1059.5214416980743,1059.966821193695,bigbrain_770_2416_5560.nii,405582
increment_data,1352.7105617523193,1356.4485204219818,bigbrain_770_2416_5560.nii,405582
save_incremented,1391.8587419986725,1857.3389995098114,bigbrain_770_2416_5560.nii,405582
load_img,8146.45624423027,8146.924792051315,bigbrain_3850_3624_4170.nii,405339
increment_data,8170.442166090012,8176.653014183044,bigbrain_3850_3624_4170.nii,405339
save_incremented,8199.011132717133,8275.300974845886,bigbrain_3850_3624_4170.nii,405339
load_img,1880.7067956924438,1881.941412448883,bigbrain_1540_1208_695.nii,405160
increment_data,2205.785979986191,2210.1091408729553,bigbrain_1540_1208_695.nii,405160
save_incremented,2411.4362213611603,2880.52885055542,bigbrain_1540_1208_695.nii,405160
load_img,410.7014379501343,411.35319209098816,bigbrain_4620_604_2085.nii,405627
increment_data,531.7845346927643,538.6969840526581,bigbrain_4620_604_2085.nii,405627
save_incremented,539.4165079593658,844.971084356308,bigbrain_4620_604_2085.nii,405627
load_img,8173.946026563644,8177.093118906021,bigbrain_1540_604_6255.nii,405348
increment_data,8208.876431465149,8210.278439760208,bigbrain_1540_604_6255.nii,405348
save_incremented,8352.893877267838,8810.823046922684,bigbrain_1540_604_6255.nii,405348
load_img,2203.0647349357605,2203.739559650421,bigbrain_1540_4832_4170.nii,405594
increment_data,2206.524146080017,2210.058567762375,bigbrain_1540_4832_4170.nii,405594
save_incremented,2371.3745424747467,2878.7254474163055,bigbrain_1540_4832_4170.nii,405594
load_img,3975.643832206726,3977.722585439682,bigbrain_0_4228_5560.nii,405312
increment_data,4092.885213136673,4098.95313501358,bigbrain_0_4228_5560.nii,405312
save_incremented,4164.6929767131805,4369.393447399139,bigbrain_0_4228_5560.nii,405312
load_img,5565.508907318115,5565.9564526081085,bigbrain_1540_0_4170.nii,405498
increment_data,5927.062760591507,5928.011345624924,bigbrain_1540_0_4170.nii,405498
save_incremented,6052.974530696869,6556.372891664505,bigbrain_1540_0_4170.nii,405498
load_img,1644.4874782562256,1646.1580693721771,bigbrain_6930_3624_4865.nii,405542
increment_data,1937.1745553016663,1945.7108776569366,bigbrain_6930_3624_4865.nii,405542
save_incremented,1997.5446643829346,2394.281986474991,bigbrain_6930_3624_4865.nii,405542
load_img,1880.6520957946777,1881.44495511055,bigbrain_1540_604_1390.nii,405651
increment_data,2034.0773129463196,2035.623089313507,bigbrain_1540_604_1390.nii,405651
save_incremented,2205.8912210464478,2419.087813138962,bigbrain_1540_604_1390.nii,405651
load_img,536.6843931674957,539.6526534557343,bigbrain_6160_0_1390.nii,405410
increment_data,972.1694967746735,974.2795572280884,bigbrain_6160_0_1390.nii,405410
save_incremented,1019.7560203075409,1266.874629497528,bigbrain_6160_0_1390.nii,405410
load_img,4096.9801197052,4099.395294189453,bigbrain_5390_604_4865.nii,405160
increment_data,4329.3348300457,4337.663482427597,bigbrain_5390_604_4865.nii,405160
save_incremented,4398.972544670105,5001.888037204742,bigbrain_5390_604_4865.nii,405160
load_img,3119.4869787693024,3121.0628933906555,bigbrain_4620_3020_6255.nii,405600
increment_data,3540.8747968673706,3542.8072893619537,bigbrain_4620_3020_6255.nii,405600
save_incremented,3559.022130012512,3879.1781351566315,bigbrain_4620_3020_6255.nii,405600
load_img,6125.0099086761475,6125.436324596405,bigbrain_1540_604_695.nii,405322
increment_data,6132.934861421585,6137.804646968842,bigbrain_1540_604_695.nii,405322
save_incremented,6356.481351137161,6563.797108411789,bigbrain_1540_604_695.nii,405322
load_img,1357.9143345355988,1358.690467119217,bigbrain_1540_1812_5560.nii,405603
increment_data,1637.8187000751495,1643.2188596725464,bigbrain_1540_1812_5560.nii,405603
save_incremented,1661.3458199501038,1837.5283365249634,bigbrain_1540_1812_5560.nii,405603
load_img,3960.1317496299744,3960.74290060997,bigbrain_4620_2416_4865.nii,405627
increment_data,3971.2792949676514,3975.5417020320892,bigbrain_4620_2416_4865.nii,405627
save_incremented,4002.31955742836,4309.8865649700165,bigbrain_4620_2416_4865.nii,405627
load_img,6938.087896108627,6938.9700174331665,bigbrain_6160_4832_2780.nii,405388
increment_data,7033.588593959808,7037.286340475082,bigbrain_6160_4832_2780.nii,405388
save_incremented,7073.587735891342,7650.006482839584,bigbrain_6160_4832_2780.nii,405388
load_img,8174.205230474472,8178.986689329147,bigbrain_4620_2416_2085.nii,405600
