driver_program,0,458.9446613788605,/dev/shm/val/spark-1572130168-tmpfs_1it_25cpus_20bb-1,allfiles
load_img,457.26936173439026,457.6920449733734,bigbrain_6930_3624_6255.nii,366596
increment_data,457.6946005821228,458.40391635894775,bigbrain_6930_3624_6255.nii,366596
save_incremented,458.40407633781433,458.847820520401,bigbrain_6930_3624_6255.nii,366596
load_img,457.22131729125977,457.62915539741516,bigbrain_6160_1812_4170.nii,366650
increment_data,457.63175415992737,458.3397800922394,bigbrain_6160_1812_4170.nii,366650
save_incremented,458.33996844291687,458.8942952156067,bigbrain_6160_1812_4170.nii,366650
load_img,455.6306025981903,456.2753312587738,bigbrain_6160_0_1390.nii,366696
increment_data,456.27946186065674,457.12329840660095,bigbrain_6160_0_1390.nii,366696
save_incremented,457.1235525608063,457.57755517959595,bigbrain_6160_0_1390.nii,366696
load_img,455.5550181865692,456.0050187110901,bigbrain_3850_0_4865.nii,366688
increment_data,456.0091001987457,456.91596508026123,bigbrain_3850_0_4865.nii,366688
save_incremented,456.91636776924133,457.38007044792175,bigbrain_3850_0_4865.nii,366688
load_img,454.9512515068054,455.735684633255,bigbrain_0_4228_4865.nii,366681
increment_data,455.74040174484253,456.5695674419403,bigbrain_0_4228_4865.nii,366681
save_incremented,456.5697920322418,457.1500313282013,bigbrain_0_4228_4865.nii,366681
load_img,454.73649501800537,455.66694808006287,bigbrain_2310_1208_0.nii,366581
increment_data,455.6719560623169,456.6736967563629,bigbrain_2310_1208_0.nii,366581
save_incremented,456.6738872528076,457.1651771068573,bigbrain_2310_1208_0.nii,366581
load_img,454.7104334831238,455.34231328964233,bigbrain_770_1208_695.nii,366629
increment_data,455.34598994255066,456.2543988227844,bigbrain_770_1208_695.nii,366629
save_incremented,456.25458812713623,456.7297179698944,bigbrain_770_1208_695.nii,366629
load_img,454.35412764549255,455.1712555885315,bigbrain_6930_5436_2780.nii,366667
increment_data,455.17442870140076,456.04922914505005,bigbrain_6930_5436_2780.nii,366667
save_incremented,456.0494315624237,456.5296998023987,bigbrain_6930_5436_2780.nii,366667
load_img,453.4479994773865,454.82107853889465,bigbrain_6930_3020_2085.nii,366717
increment_data,454.82660269737244,456.3621714115143,bigbrain_6930_3020_2085.nii,366717
save_incremented,456.3624658584595,456.9064185619354,bigbrain_6930_3020_2085.nii,366717
load_img,453.51480770111084,454.7210199832916,bigbrain_0_1208_695.nii,366621
increment_data,454.72884821891785,456.101615190506,bigbrain_0_1208_695.nii,366621
save_incremented,456.10182547569275,456.6949064731598,bigbrain_0_1208_695.nii,366621
load_img,453.71030139923096,454.6734869480133,bigbrain_3080_4228_0.nii,366589
increment_data,454.6771366596222,455.6652548313141,bigbrain_3080_4228_0.nii,366589
save_incremented,455.666650056839,456.16404461860657,bigbrain_3080_4228_0.nii,366589
load_img,452.91911005973816,454.3455364704132,bigbrain_6160_1208_3475.nii,366555
increment_data,454.35128474235535,455.8653600215912,bigbrain_6160_1208_3475.nii,366555
save_incremented,455.86559772491455,456.493132352829,bigbrain_6160_1208_3475.nii,366555
load_img,453.12136483192444,454.29074215888977,bigbrain_4620_4832_2780.nii,366641
increment_data,454.29870080947876,455.80613684654236,bigbrain_4620_4832_2780.nii,366641
save_incremented,455.80636620521545,456.4328410625458,bigbrain_4620_4832_2780.nii,366641
load_img,453.1694211959839,454.1537199020386,bigbrain_5390_0_4170.nii,366573
increment_data,454.1580092906952,455.1734788417816,bigbrain_5390_0_4170.nii,366573
save_incremented,455.1736924648285,455.66526985168457,bigbrain_5390_0_4170.nii,366573
load_img,452.0136168003082,453.26667308807373,bigbrain_6930_1812_695.nii,366634
increment_data,453.27323031425476,455.2621626853943,bigbrain_6930_1812_695.nii,366634
save_incremented,455.2625229358673,456.045658826828,bigbrain_6930_1812_695.nii,366634
load_img,452.3003079891205,453.24824476242065,bigbrain_2310_604_2780.nii,366659
increment_data,453.25452995300293,455.1495864391327,bigbrain_2310_604_2780.nii,366659
save_incremented,455.1499180793762,455.9747312068939,bigbrain_2310_604_2780.nii,366659
load_img,450.84262204170227,453.08949279785156,bigbrain_4620_2416_3475.nii,366674
increment_data,453.09478735923767,454.63574504852295,bigbrain_4620_2416_3475.nii,366674
save_incremented,454.6360204219818,455.16756105422974,bigbrain_4620_2416_3475.nii,366674
load_img,450.8326072692871,453.0722372531891,bigbrain_770_3624_4170.nii,366546
increment_data,453.0774130821228,454.6368794441223,bigbrain_770_3624_4170.nii,366546
save_incremented,454.6371474266052,455.17376685142517,bigbrain_770_3624_4170.nii,366546
load_img,450.73927068710327,453.0436501502991,bigbrain_1540_4832_0.nii,366711
increment_data,453.0487596988678,454.5949475765228,bigbrain_1540_4832_0.nii,366711
save_incremented,454.5955259799957,455.1335024833679,bigbrain_1540_4832_0.nii,366711
load_img,452.1840455532074,453.00808334350586,bigbrain_3850_1812_695.nii,366603
increment_data,453.0147867202759,454.8110730648041,bigbrain_3850_1812_695.nii,366603
save_incremented,454.8119115829468,455.75260519981384,bigbrain_3850_1812_695.nii,366603
load_img,451.735102891922,452.35993576049805,bigbrain_6930_4832_5560.nii,366609
increment_data,452.3649916648865,454.36301612854004,bigbrain_6930_4832_5560.nii,366609
save_incremented,454.3632884025574,455.3182735443115,bigbrain_6930_4832_5560.nii,366609
load_img,450.2772943973541,451.77176451683044,bigbrain_6160_4832_3475.nii,366565
increment_data,451.77920603752136,454.1640872955322,bigbrain_6160_4832_3475.nii,366565
save_incremented,454.1647801399231,454.83571195602417,bigbrain_6160_4832_3475.nii,366565
load_img,450.08408093452454,451.13949370384216,bigbrain_6930_1208_6255.nii,366724
increment_data,451.14708280563354,453.71771931648254,bigbrain_6930_1208_6255.nii,366724
save_incremented,453.717946767807,454.5525462627411,bigbrain_6930_1208_6255.nii,366724
load_img,449.92938470840454,451.1394681930542,bigbrain_5390_5436_4170.nii,366705
increment_data,451.1513783931732,453.6688723564148,bigbrain_5390_5436_4170.nii,366705
save_incremented,453.6691040992737,454.4969244003296,bigbrain_5390_5436_4170.nii,366705
load_img,449.80712890625,451.0098555088043,bigbrain_0_1208_4170.nii,366615
increment_data,451.0191192626953,453.65310406684875,bigbrain_0_1208_4170.nii,366615
save_incremented,453.65408205986023,454.48645210266113,bigbrain_0_1208_4170.nii,366615
load_img,449.67496252059937,450.94150280952454,bigbrain_1540_1812_3475.nii,366596
increment_data,450.94858288764954,453.62330198287964,bigbrain_1540_1812_3475.nii,366596
save_incremented,453.6236560344696,454.4527723789215,bigbrain_1540_1812_3475.nii,366596
load_img,448.9033570289612,450.43098616600037,bigbrain_6930_604_4170.nii,366650
increment_data,450.4365441799164,453.13049054145813,bigbrain_6930_604_4170.nii,366650
save_incremented,453.1307418346405,454.09359788894653,bigbrain_6930_604_4170.nii,366650
load_img,448.4798846244812,449.48415207862854,bigbrain_3080_5436_695.nii,366696
increment_data,449.48925280570984,451.10119891166687,bigbrain_3080_5436_695.nii,366696
save_incremented,451.1016366481781,451.6978998184204,bigbrain_3080_5436_695.nii,366696
load_img,448.38139748573303,449.3868429660797,bigbrain_2310_2416_0.nii,366688
increment_data,449.3938000202179,451.1246953010559,bigbrain_2310_2416_0.nii,366688
save_incremented,451.1250650882721,451.7194519042969,bigbrain_2310_2416_0.nii,366688
load_img,447.6891577243805,448.7713465690613,bigbrain_1540_3624_695.nii,366581
increment_data,448.77580165863037,449.8490152359009,bigbrain_1540_3624_695.nii,366581
save_incremented,449.8493993282318,450.78085803985596,bigbrain_1540_3624_695.nii,366581
load_img,447.5105049610138,448.407851934433,bigbrain_3080_0_4865.nii,366681
increment_data,448.4152076244354,449.8688747882843,bigbrain_3080_0_4865.nii,366681
save_incremented,449.86938428878784,450.8055703639984,bigbrain_3080_0_4865.nii,366681
load_img,445.91766119003296,446.8739175796509,bigbrain_770_1208_0.nii,366621
increment_data,446.8797323703766,447.81314754486084,bigbrain_770_1208_0.nii,366621
save_incremented,447.81356835365295,448.69305300712585,bigbrain_770_1208_0.nii,366621
load_img,445.7723422050476,446.6699068546295,bigbrain_1540_3020_695.nii,366641
increment_data,446.68309354782104,447.6379888057709,bigbrain_1540_3020_695.nii,366641
save_incremented,447.63880705833435,448.5026001930237,bigbrain_1540_3020_695.nii,366641
load_img,445.2561511993408,446.4354169368744,bigbrain_770_0_1390.nii,366629
increment_data,446.4386885166168,448.5721666812897,bigbrain_770_0_1390.nii,366629
save_incremented,448.5725929737091,450.1562080383301,bigbrain_770_0_1390.nii,366629
load_img,445.5889091491699,446.33094120025635,bigbrain_6160_5436_3475.nii,366717
increment_data,446.33452916145325,447.60111808776855,bigbrain_6160_5436_3475.nii,366717
save_incremented,447.6015992164612,448.4152476787567,bigbrain_6160_5436_3475.nii,366717
load_img,444.8528046607971,446.24029326438904,bigbrain_5390_604_5560.nii,366667
increment_data,446.24863290786743,448.3750784397125,bigbrain_5390_604_5560.nii,366667
save_incremented,448.3755130767822,449.8815267086029,bigbrain_5390_604_5560.nii,366667
load_img,445.5301730632782,446.07096576690674,bigbrain_6930_1208_5560.nii,366659
increment_data,446.07608914375305,447.20215821266174,bigbrain_6930_1208_5560.nii,366659
save_incremented,447.20238423347473,447.84810757637024,bigbrain_6930_1208_5560.nii,366659
load_img,445.1234381198883,445.6889350414276,bigbrain_4620_5436_4170.nii,366603
increment_data,445.69242548942566,446.73178720474243,bigbrain_4620_5436_4170.nii,366603
save_incremented,446.73237347602844,447.46721386909485,bigbrain_4620_5436_4170.nii,366603
load_img,443.6045455932617,445.18223667144775,bigbrain_3850_0_1390.nii,366573
increment_data,445.18926787376404,447.3906407356262,bigbrain_3850_0_1390.nii,366573
save_incremented,447.390811920166,448.8136022090912,bigbrain_3850_0_1390.nii,366573
load_img,443.8659145832062,445.17253851890564,bigbrain_3080_4832_4170.nii,366589
increment_data,445.18046498298645,447.4064767360687,bigbrain_3080_4832_4170.nii,366589
save_incremented,447.406760931015,448.90689849853516,bigbrain_3080_4832_4170.nii,366589
load_img,443.88681840896606,444.59474658966064,bigbrain_6930_3624_5560.nii,366555
increment_data,444.60031509399414,445.6665494441986,bigbrain_6930_3624_5560.nii,366555
save_incremented,445.6668326854706,446.26073956489563,bigbrain_6930_3624_5560.nii,366555
load_img,443.0937807559967,443.92724347114563,bigbrain_5390_4228_5560.nii,366609
increment_data,443.93314576148987,445.5116925239563,bigbrain_5390_4228_5560.nii,366609
save_incremented,445.51210618019104,446.1026437282562,bigbrain_5390_4228_5560.nii,366609
load_img,442.9691412448883,443.794406414032,bigbrain_6160_3020_2780.nii,366634
increment_data,443.7994613647461,445.26871371269226,bigbrain_6160_3020_2780.nii,366634
save_incremented,445.2690107822418,445.8169615268707,bigbrain_6160_3020_2780.nii,366634
load_img,439.59017729759216,440.7781136035919,bigbrain_5390_2416_695.nii,366674
increment_data,440.78734254837036,443.1559147834778,bigbrain_5390_2416_695.nii,366674
save_incremented,443.15650153160095,445.00226283073425,bigbrain_5390_2416_695.nii,366674
load_img,439.55433988571167,440.74396109580994,bigbrain_5390_5436_6255.nii,366565
increment_data,440.7493541240692,443.0709376335144,bigbrain_5390_5436_6255.nii,366565
save_incremented,443.0715067386627,444.9186806678772,bigbrain_5390_5436_6255.nii,366565
load_img,439.52704763412476,440.7372827529907,bigbrain_3080_1812_3475.nii,366711
increment_data,440.7446084022522,443.1290056705475,bigbrain_3080_1812_3475.nii,366711
save_incremented,443.13001680374146,444.9806089401245,bigbrain_3080_1812_3475.nii,366711
load_img,439.47724056243896,440.72122502326965,bigbrain_2310_0_3475.nii,366546
increment_data,440.7261416912079,443.05353307724,bigbrain_2310_0_3475.nii,366546
save_incremented,443.0543658733368,444.85584902763367,bigbrain_2310_0_3475.nii,366546
load_img,439.34192538261414,440.59956789016724,bigbrain_4620_4832_4170.nii,366724
increment_data,440.6064131259918,442.78642416000366,bigbrain_4620_4832_4170.nii,366724
save_incremented,442.7870261669159,444.4457297325134,bigbrain_4620_4832_4170.nii,366724
load_img,439.3691418170929,440.4235026836395,bigbrain_6160_5436_5560.nii,366596
increment_data,440.4327356815338,442.670690536499,bigbrain_6160_5436_5560.nii,366596
save_incremented,442.6715748310089,444.2441670894623,bigbrain_6160_5436_5560.nii,366596
load_img,439.3645944595337,440.3521132469177,bigbrain_2310_0_695.nii,366615
increment_data,440.35714292526245,442.0242908000946,bigbrain_2310_0_695.nii,366615
save_incremented,442.02458143234253,443.545706987381,bigbrain_2310_0_695.nii,366615
load_img,439.3281412124634,440.33796763420105,bigbrain_6160_0_3475.nii,366705
increment_data,440.342093706131,442.03637742996216,bigbrain_6160_0_3475.nii,366705
save_incremented,442.03668880462646,443.57781648635864,bigbrain_6160_0_3475.nii,366705
load_img,439.04478693008423,440.0608665943146,bigbrain_3080_5436_4865.nii,366696
increment_data,440.0654819011688,441.80748105049133,bigbrain_3080_5436_4865.nii,366696
save_incremented,441.80871987342834,442.4980914592743,bigbrain_3080_5436_4865.nii,366696
load_img,439.1772413253784,439.7197856903076,bigbrain_5390_604_3475.nii,366650
increment_data,439.72434425354004,440.9860141277313,bigbrain_5390_604_3475.nii,366650
save_incremented,440.98624634742737,442.5347399711609,bigbrain_5390_604_3475.nii,366650
load_img,438.4839425086975,439.52027559280396,bigbrain_5390_4228_4865.nii,366621
increment_data,439.52546763420105,441.32302165031433,bigbrain_5390_4228_4865.nii,366621
save_incremented,441.3235116004944,442.0482747554779,bigbrain_5390_4228_4865.nii,366621
load_img,438.3658242225647,439.40248918533325,bigbrain_4620_3020_695.nii,366641
increment_data,439.4074079990387,441.2394723892212,bigbrain_4620_3020_695.nii,366641
