driver_program,0,11231.786417484283,/home/users/vhayots/spark-1572497074-isilonAD_1it_25cpus_20bb-0,allfiles
load_img,4669.367182016373,4669.75008893013,bigbrain_3850_604_1390.nii,133874
increment_data,4679.362361431122,4680.172771692276,bigbrain_3850_604_1390.nii,133874
save_incremented,4701.955632209778,4847.675460577011,bigbrain_3850_604_1390.nii,133874
load_img,5143.449255466461,5143.841528892517,bigbrain_4620_3020_3475.nii,133838
increment_data,5191.29359459877,5195.10973906517,bigbrain_4620_3020_3475.nii,133838
save_incremented,5221.172789096832,5276.323745250702,bigbrain_4620_3020_3475.nii,133838
load_img,8582.143071174622,8582.688180208206,bigbrain_5390_4228_0.nii,133847
increment_data,8594.659503936768,8597.064074277878,bigbrain_5390_4228_0.nii,133847
save_incremented,8612.699910640717,8696.877371311188,bigbrain_5390_4228_0.nii,133847
load_img,8203.786429166794,8204.322964668274,bigbrain_3850_2416_695.nii,133880
increment_data,8275.563912153244,8288.679528474808,bigbrain_3850_2416_695.nii,133880
save_incremented,8308.453794956207,8363.70501589775,bigbrain_3850_2416_695.nii,133880
load_img,446.81735825538635,447.19988107681274,bigbrain_6930_1208_5560.nii,133868
increment_data,456.29658246040344,457.6518015861511,bigbrain_6930_1208_5560.nii,133868
save_incremented,464.87943601608276,506.73678278923035,bigbrain_6930_1208_5560.nii,133868
load_img,6522.52515745163,6523.133512735367,bigbrain_0_0_3475.nii,133826
increment_data,6604.691769838333,6607.32919049263,bigbrain_0_0_3475.nii,133826
save_incremented,6629.463505268097,6735.2492825984955,bigbrain_0_0_3475.nii,133826
load_img,9080.332081079483,9080.714562654495,bigbrain_3850_5436_6255.nii,133850
increment_data,9131.54048037529,9136.832639694214,bigbrain_3850_5436_6255.nii,133850
save_incremented,9158.623375415802,9245.228423833847,bigbrain_3850_5436_6255.nii,133850
load_img,10380.38839006424,10380.997972726822,bigbrain_0_4832_3475.nii,133844
increment_data,10396.044679880142,10398.141107320786,bigbrain_0_4832_3475.nii,133844
save_incremented,10427.250122785568,10527.766986846924,bigbrain_0_4832_3475.nii,133844
load_img,8596.361449480057,8597.342274188995,bigbrain_6160_604_6255.nii,133844
increment_data,8629.459883451462,8633.060140609741,bigbrain_6160_604_6255.nii,133844
save_incremented,8640.752076387405,8727.581591367722,bigbrain_6160_604_6255.nii,133844
load_img,4639.582807302475,4639.964128255844,bigbrain_2310_3624_6255.nii,133823
increment_data,4675.877142906189,4677.340336084366,bigbrain_2310_3624_6255.nii,133823
save_incremented,4679.855401754379,4767.430214643478,bigbrain_2310_3624_6255.nii,133823
load_img,2226.248443365097,2226.6375312805176,bigbrain_6930_3020_5560.nii,133817
increment_data,2235.895350217819,2237.553431749344,bigbrain_6930_3020_5560.nii,133817
save_incremented,2257.80952334404,2356.9823472499847,bigbrain_6930_3020_5560.nii,133817
load_img,9675.372647047043,9675.760008335114,bigbrain_3850_3624_5560.nii,133813
increment_data,9741.189581394196,9745.153314352036,bigbrain_3850_3624_5560.nii,133813
save_incremented,9752.004785299301,9835.122133731842,bigbrain_3850_3624_5560.nii,133813
load_img,6522.447692394257,6522.974144458771,bigbrain_6930_4832_4865.nii,133841
increment_data,6574.211746931076,6584.1841106414795,bigbrain_6930_4832_4865.nii,133841
save_incremented,6604.936616420746,6668.934906721115,bigbrain_6930_4832_4865.nii,133841
load_img,4901.777068853378,4902.166269779205,bigbrain_6160_3020_4170.nii,133844
increment_data,4943.602667331696,4947.070461273193,bigbrain_6160_3020_4170.nii,133844
save_incremented,4949.841382026672,5057.056967496872,bigbrain_6160_3020_4170.nii,133844
load_img,4138.070730686188,4138.466487169266,bigbrain_0_1208_4865.nii,133820
increment_data,4139.223621845245,4140.032004356384,bigbrain_0_1208_4865.nii,133820
save_incremented,4147.076212406158,4252.255453109741,bigbrain_0_1208_4865.nii,133820
load_img,8201.28630232811,8201.668847322464,bigbrain_0_2416_4170.nii,133883
increment_data,8267.696574926376,8284.674659013748,bigbrain_0_2416_4170.nii,133883
save_incremented,8308.452811717987,8371.997679710388,bigbrain_0_2416_4170.nii,133883
load_img,5221.937847137451,5222.368861913681,bigbrain_6160_2416_1390.nii,133817
increment_data,5250.941591262817,5257.607019901276,bigbrain_6160_2416_1390.nii,133817
save_incremented,5264.545856714249,5369.232422351837,bigbrain_6160_2416_1390.nii,133817
load_img,1662.302116394043,1662.689001083374,bigbrain_2310_0_4170.nii,133820
