driver_program,0,10545.577550172806,/home/users/vhayots/spark-1570495571-isilonAD_1it_96cpus_0delay_npc-1,allfiles
load_img,3023.9337933063507,3024.6103756427765,bigbrain_2310_2416_3475.nii,85558
increment_data,3185.0712847709656,3192.370556116104,bigbrain_2310_2416_3475.nii,85558
save_incremented,3279.1910135746,3438.1440892219543,bigbrain_2310_2416_3475.nii,85558
load_img,876.9584450721741,877.3412606716156,bigbrain_770_5436_6255.nii,85402
increment_data,877.95791888237,880.3270983695984,bigbrain_770_5436_6255.nii,85402
save_incremented,901.1821744441986,1282.9295401573181,bigbrain_770_5436_6255.nii,85402
load_img,1775.207558631897,1776.5051198005676,bigbrain_6160_3020_6255.nii,85507
increment_data,1932.5802931785583,1934.9125475883484,bigbrain_6160_3020_6255.nii,85507
save_incremented,2006.2080464363098,2422.3627347946167,bigbrain_6160_3020_6255.nii,85507
load_img,7031.060290813446,7031.779413700104,bigbrain_3850_3624_695.nii,85663
increment_data,7055.229200363159,7060.472505331039,bigbrain_3850_3624_695.nii,85663
save_incremented,7175.769133090973,7492.974316120148,bigbrain_3850_3624_695.nii,85663
load_img,8741.758567333221,8742.148844003677,bigbrain_5390_4228_2780.nii,85396
increment_data,9047.923320055008,9051.957751274109,bigbrain_5390_4228_2780.nii,85396
save_incremented,9071.097981929779,9189.030750989914,bigbrain_5390_4228_2780.nii,85396
load_img,9647.632021903992,9648.58402299881,bigbrain_3080_2416_1390.nii,85534
increment_data,10055.49750828743,10061.86575126648,bigbrain_3080_2416_1390.nii,85534
save_incremented,10074.226468086243,10213.27958869934,bigbrain_3080_2416_1390.nii,85534
load_img,3872.64572930336,3874.0259144306183,bigbrain_4620_4832_2085.nii,85486
increment_data,3952.340193271637,3955.583612203598,bigbrain_4620_4832_2085.nii,85486
save_incremented,4069.217936038971,4240.231455564499,bigbrain_4620_4832_2085.nii,85486
load_img,4959.269433736801,4959.851529121399,bigbrain_770_4228_2085.nii,85615
increment_data,5014.656165838242,5016.059336185455,bigbrain_770_4228_2085.nii,85615
save_incremented,5021.986041069031,5162.188930273056,bigbrain_770_4228_2085.nii,85615
load_img,1775.4070534706116,1776.3397924900055,bigbrain_4620_4832_4865.nii,85429
