driver_program,0,9749.811122655869,/home/users/vhayots/spark-1570955656-isilon_1it_96cpus_0delay_npc-0,allfiles
load_img,2812.8678295612335,2827.451994895935,bigbrain_770_604_2780.nii,112153
increment_data,3233.004696369171,3269.0038566589355,bigbrain_770_604_2780.nii,112153
save_incremented,3400.1766715049744,3705.109575510025,bigbrain_770_604_2780.nii,112153
load_img,4478.825037956238,4487.587162733078,bigbrain_5390_2416_2780.nii,112163
increment_data,4868.001091718674,4898.767654418945,bigbrain_5390_2416_2780.nii,112163
save_incremented,5200.440042972565,5711.148326873779,bigbrain_5390_2416_2780.nii,112163
load_img,6910.090599775314,6930.908113002777,bigbrain_0_3624_6255.nii,112083
increment_data,7165.925290822983,7178.459189176559,bigbrain_0_3624_6255.nii,112083
save_incremented,7178.502631187439,7587.216070652008,bigbrain_0_3624_6255.nii,112083
load_img,6556.856585979462,6562.695236444473,bigbrain_1540_4228_4170.nii,112188
increment_data,7008.154535531998,7044.070730209351,bigbrain_1540_4228_4170.nii,112188
save_incremented,7163.59317445755,7587.207769155502,bigbrain_1540_4228_4170.nii,112188
load_img,3029.7670159339905,3052.625462770462,bigbrain_1540_2416_4865.nii,112311
increment_data,3368.118150472641,3389.329192638397,bigbrain_1540_2416_4865.nii,112311
save_incremented,3406.648964881897,3814.297218322754,bigbrain_1540_2416_4865.nii,112311
load_img,9524.846116542816,9524.907420396805,bigbrain_3850_1812_1390.nii,112311
increment_data,9524.942385435104,9546.858775615692,bigbrain_3850_1812_1390.nii,112311
save_incremented,9546.86263179779,9569.042562484741,bigbrain_3850_1812_1390.nii,112311
load_img,5786.5839602947235,5786.631310224533,bigbrain_6160_3624_2085.nii,111959
increment_data,6264.501220941544,6282.035220384598,bigbrain_6160_3624_2085.nii,111959
save_incremented,6285.331100225449,6671.4617648124695,bigbrain_6160_3624_2085.nii,111959
load_img,2628.7141478061676,2670.321891784668,bigbrain_2310_1812_2780.nii,112068
increment_data,3066.412083864212,3102.768014192581,bigbrain_2310_1812_2780.nii,112068
save_incremented,3371.4190711975098,3559.7323524951935,bigbrain_2310_1812_2780.nii,112068
load_img,17.070220708847046,39.82689833641052,bigbrain_3850_0_1390.nii,111939
increment_data,57.17588520050049,69.1523187160492,bigbrain_3850_0_1390.nii,111939
save_incremented,98.93720746040344,119.35652875900269,bigbrain_3850_0_1390.nii,111939
load_img,7660.082594871521,7674.200546979904,bigbrain_3850_0_5560.nii,112214
increment_data,8109.090978145599,8142.970112323761,bigbrain_3850_0_5560.nii,112214
save_incremented,8157.093276262283,8571.453285217285,bigbrain_3850_0_5560.nii,112214
load_img,6724.055401325226,6751.390289068222,bigbrain_5390_5436_4865.nii,111915
increment_data,7078.34073638916,7110.092353343964,bigbrain_5390_5436_4865.nii,111915
save_incremented,7165.823961257935,7587.211361885071,bigbrain_5390_5436_4865.nii,111915
load_img,5265.139555215836,5284.013832807541,bigbrain_5390_4832_695.nii,111959
increment_data,5284.287845373154,5599.32913851738,bigbrain_5390_4832_695.nii,111959
save_incremented,5765.048336029053,5786.504719495773,bigbrain_5390_4832_695.nii,111959
load_img,1547.8906879425049,1570.9334602355957,bigbrain_4620_4228_4170.nii,111959
increment_data,1928.282253742218,1986.877982378006,bigbrain_4620_4228_4170.nii,111959
save_incremented,2270.9705033302307,2287.224406003952,bigbrain_4620_4228_4170.nii,111959
