driver_program,0,4128.35239648819,/home/users/vhayots/spark-1570987718-isilon_1it_96cpus_0delay_npc_em-0,allfiles
load_img,429.9252233505249,429.93104696273804,bigbrain_0_0_6255.nii,120550
increment_data,496.15750074386597,497.4966435432434,bigbrain_0_0_6255.nii,120550
save_incremented,595.2518758773804,650.5913136005402,bigbrain_0_0_6255.nii,120550
load_img,2859.7992446422577,2860.228986978531,bigbrain_0_0_5560.nii,120592
increment_data,2946.7701473236084,2948.8671131134033,bigbrain_0_0_5560.nii,120592
save_incremented,3035.6761252880096,3115.7566497325897,bigbrain_0_0_5560.nii,120592
load_img,2497.353734254837,2497.7749474048615,bigbrain_0_0_4170.nii,120477
increment_data,2600.0796463489532,2601.9433732032776,bigbrain_0_0_4170.nii,120477
save_incremented,2750.873448371887,2807.8700375556946,bigbrain_0_0_4170.nii,120477
load_img,2796.3388516902924,2797.693218231201,bigbrain_0_0_4170.nii,120541
increment_data,2882.295047521591,2884.0162217617035,bigbrain_0_0_4170.nii,120541
save_incremented,2961.9565484523773,3028.501389980316,bigbrain_0_0_4170.nii,120541
load_img,1200.7585716247559,1201.30712556839,bigbrain_0_4228_0.nii,120400
increment_data,1293.1710319519043,1295.7619848251343,bigbrain_0_4228_0.nii,120400
save_incremented,1412.4807450771332,1495.154569387436,bigbrain_0_4228_0.nii,120400
load_img,3283.990127801895,3284.4361004829407,bigbrain_0_3020_4170.nii,120527
increment_data,3384.850468158722,3385.7004466056824,bigbrain_0_3020_4170.nii,120527
save_incremented,3475.4192068576813,3554.3106637001038,bigbrain_0_3020_4170.nii,120527
load_img,3561.631410598755,3562.2366335392,bigbrain_0_4228_4170.nii,120634
increment_data,3635.5983788967133,3639.832564353943,bigbrain_0_4228_4170.nii,120634
save_incremented,3708.7539505958557,3798.6878156661987,bigbrain_0_4228_4170.nii,120634
load_img,3376.925187587738,3376.932604789734,bigbrain_0_3624_5560.nii,120442
increment_data,3449.1840875148773,3452.545366048813,bigbrain_0_3624_5560.nii,120442
save_incremented,3548.758125305176,3661.557878255844,bigbrain_0_3624_5560.nii,120442
load_img,68.99413108825684,69.57648468017578,bigbrain_0_3020_2780.nii,120511
increment_data,91.64124870300293,92.6578905582428,bigbrain_0_3020_2780.nii,120511
save_incremented,160.30908489227295,293.2870535850525,bigbrain_0_3020_2780.nii,120511
load_img,2553.5451769828796,2554.0025951862335,bigbrain_0_1208_3475.nii,120669
increment_data,2689.346420288086,2699.9150941371918,bigbrain_0_1208_3475.nii,120669
save_incremented,2813.2667801380157,2915.3475036621094,bigbrain_0_1208_3475.nii,120669
load_img,1480.8660068511963,1480.8719055652618,bigbrain_0_1812_6255.nii,120656
increment_data,1599.9315114021301,1601.7774057388306,bigbrain_0_1812_6255.nii,120656
save_incremented,1687.24600148201,1794.3677451610565,bigbrain_0_1812_6255.nii,120656
load_img,395.0997676849365,395.10504364967346,bigbrain_0_3624_4865.nii,120474
increment_data,449.41095542907715,450.1346666812897,bigbrain_0_3624_4865.nii,120474
save_incremented,518.8529896736145,738.1893048286438,bigbrain_0_3624_4865.nii,120474
load_img,1341.4680306911469,1342.9836297035217,bigbrain_0_1812_6255.nii,120419
increment_data,1460.391728401184,1462.2369694709778,bigbrain_0_1812_6255.nii,120419
save_incremented,1578.5827651023865,1670.14217543602,bigbrain_0_1812_6255.nii,120419
load_img,2034.4720976352692,2035.2091493606567,bigbrain_0_2416_4170.nii,120375
increment_data,2097.3495597839355,2101.1060779094696,bigbrain_0_2416_4170.nii,120375
save_incremented,2225.8526175022125,2342.828330516815,bigbrain_0_2416_4170.nii,120375
load_img,2077.77170085907,2077.7757890224457,bigbrain_0_4228_5560.nii,120569
increment_data,2171.1934843063354,2182.695686340332,bigbrain_0_4228_5560.nii,120569
save_incremented,2309.0659437179565,2404.3067305088043,bigbrain_0_4228_5560.nii,120569
load_img,3438.916446685791,3439.2980766296387,bigbrain_0_3624_5560.nii,120684
increment_data,3559.6663064956665,3562.0923442840576,bigbrain_0_3624_5560.nii,120684
save_incremented,3634.5252854824066,3756.7663526535034,bigbrain_0_3624_5560.nii,120684
load_img,816.7657549381256,816.7708282470703,bigbrain_0_1208_4170.nii,120400
increment_data,907.7507569789886,910.537859916687,bigbrain_0_1208_4170.nii,120400
save_incremented,1025.1094138622284,1096.194950580597,bigbrain_0_1208_4170.nii,120400
load_img,1704.4701540470123,1704.6153740882874,bigbrain_0_0_2085.nii,120494
increment_data,1819.837946653366,1840.3004190921783,bigbrain_0_0_2085.nii,120494
save_incremented,1960.8218832015991,2041.4455358982086,bigbrain_0_0_2085.nii,120494
load_img,600.4011454582214,601.9183523654938,bigbrain_0_1812_4865.nii,120561
increment_data,686.3032710552216,687.8739821910858,bigbrain_0_1812_4865.nii,120561
save_incremented,802.348958492279,839.8473165035248,bigbrain_0_1812_4865.nii,120561
load_img,489.5505373477936,489.55732440948486,bigbrain_0_0_0.nii,120520
increment_data,572.0441770553589,574.3366293907166,bigbrain_0_0_0.nii,120520
save_incremented,668.1576538085938,738.4421038627625,bigbrain_0_0_0.nii,120520
load_img,3336.806592941284,3337.4865906238556,bigbrain_0_3624_6255.nii,120419
increment_data,3405.1103472709656,3407.686364173889,bigbrain_0_3624_6255.nii,120419
save_incremented,3516.3358824253082,3629.8493671417236,bigbrain_0_3624_6255.nii,120419
load_img,2495.057198524475,2495.5578696727753,bigbrain_0_3624_0.nii,120429
increment_data,2596.1150226593018,2597.6914834976196,bigbrain_0_3624_0.nii,120429
save_incremented,2743.342559337616,2874.664792060852,bigbrain_0_3624_0.nii,120429
load_img,3445.876446723938,3445.8819444179535,bigbrain_0_0_1390.nii,120523
increment_data,3569.9566292762756,3571.9622781276703,bigbrain_0_0_1390.nii,120523
save_incremented,3646.2987802028656,3773.3215522766113,bigbrain_0_0_1390.nii,120523
load_img,1439.5854194164276,1439.5908744335175,bigbrain_0_1208_6255.nii,120577
increment_data,1568.5709381103516,1570.3505644798279,bigbrain_0_1208_6255.nii,120577
save_incremented,1661.1525688171387,1701.978664636612,bigbrain_0_1208_6255.nii,120577
load_img,3165.7081031799316,3167.0890033245087,bigbrain_0_3020_1390.nii,120664
increment_data,3239.831137895584,3241.0464568138123,bigbrain_0_3020_1390.nii,120664
save_incremented,3323.7673246860504,3383.5877673625946,bigbrain_0_3020_1390.nii,120664
load_img,2858.7184522151947,2859.278512954712,bigbrain_0_0_4170.nii,120660
increment_data,2946.4134471416473,2947.521878004074,bigbrain_0_0_4170.nii,120660
save_incremented,3031.155235528946,3140.4387562274933,bigbrain_0_0_4170.nii,120660
load_img,47.68354058265686,67.75571990013123,bigbrain_0_3020_2780.nii,120364
increment_data,81.20279026031494,81.73257255554199,bigbrain_0_3020_2780.nii,120364
save_incremented,117.25848698616028,164.1403739452362,bigbrain_0_3020_2780.nii,120364
load_img,2332.3395612239838,2333.4090502262115,bigbrain_0_1812_5560.nii,120354
increment_data,2435.7254440784454,2444.087276697159,bigbrain_0_1812_5560.nii,120354
save_incremented,2527.6667833328247,2615.4580998420715,bigbrain_0_1812_5560.nii,120354
load_img,2803.996520757675,2804.0008583068848,bigbrain_0_0_4865.nii,120516
increment_data,2887.1329340934753,2890.755962371826,bigbrain_0_0_4865.nii,120516
save_incremented,2964.847196817398,3058.7660422325134,bigbrain_0_0_4865.nii,120516
load_img,2545.704988718033,2545.7132954597473,bigbrain_0_3624_0.nii,120612
increment_data,2661.7447638511658,2665.9334223270416,bigbrain_0_3624_0.nii,120612
save_incremented,2800.8971350193024,2907.8087050914764,bigbrain_0_3624_0.nii,120612
load_img,3789.4286761283875,3802.063898086548,bigbrain_0_4228_4170.nii,120669
increment_data,3804.4741699695587,3806.1626496315002,bigbrain_0_4228_4170.nii,120669
save_incremented,3815.054101228714,3911.847967863083,bigbrain_0_4228_4170.nii,120669
load_img,1467.0883660316467,1468.9411838054657,bigbrain_0_4228_3475.nii,120553
increment_data,1599.4947307109833,1600.9979326725006,bigbrain_0_4228_3475.nii,120553
save_incremented,1686.848664522171,1748.2814519405365,bigbrain_0_4228_3475.nii,120553
load_img,41.21958827972412,42.1877236366272,bigbrain_0_3624_695.nii,120336
increment_data,64.06062054634094,67.71505784988403,bigbrain_0_3624_695.nii,120336
save_incremented,81.20000314712524,103.33134174346924,bigbrain_0_3624_695.nii,120336
load_img,47.65452837944031,47.89953923225403,bigbrain_0_4228_4865.nii,120359
increment_data,81.12251496315002,81.62200999259949,bigbrain_0_4228_4865.nii,120359
save_incremented,117.56119680404663,200.81940603256226,bigbrain_0_4228_4865.nii,120359
load_img,3603.3993887901306,3603.729512453079,bigbrain_0_4228_4170.nii,120597
increment_data,3658.0882935523987,3659.3731911182404,bigbrain_0_4228_4170.nii,120597
save_incremented,3718.375123977661,3835.5470185279846,bigbrain_0_4228_4170.nii,120597
load_img,898.9021818637848,898.9077968597412,bigbrain_0_4228_2780.nii,120582
increment_data,1004.800505399704,1005.983282327652,bigbrain_0_4228_2780.nii,120582
save_incremented,1127.1425433158875,1206.4179923534393,bigbrain_0_4228_2780.nii,120582
load_img,1508.0293276309967,1521.4566595554352,bigbrain_0_2416_6255.nii,120290
increment_data,1639.0835499763489,1669.5794246196747,bigbrain_0_2416_6255.nii,120290
save_incremented,1777.7410666942596,1828.829891204834,bigbrain_0_2416_6255.nii,120290
load_img,3242.8122613430023,3242.8165032863617,bigbrain_0_3020_4170.nii,120332
increment_data,3336.09547829628,3337.91756272316,bigbrain_0_3020_4170.nii,120332
save_incremented,3403.1377427577972,3599.9826607704163,bigbrain_0_3020_4170.nii,120332
load_img,3249.720212697983,3250.2221722602844,bigbrain_0_2416_5560.nii,120379
increment_data,3346.8540580272675,3363.930071115494,bigbrain_0_2416_5560.nii,120379
save_incremented,3442.957494735718,3542.03937458992,bigbrain_0_2416_5560.nii,120379
load_img,398.2040665149689,398.21077370643616,bigbrain_0_4228_695.nii,120499
increment_data,463.69623732566833,466.82390451431274,bigbrain_0_4228_695.nii,120499
save_incremented,547.0691015720367,797.087877035141,bigbrain_0_4228_695.nii,120499
load_img,3213.227383375168,3213.2316472530365,bigbrain_0_3624_6255.nii,120564
increment_data,3289.0669922828674,3296.61039686203,bigbrain_0_3624_6255.nii,120564
save_incremented,3393.378284215927,3496.1652958393097,bigbrain_0_3624_6255.nii,120564
load_img,1255.097315788269,1255.102612733841,bigbrain_0_4228_2085.nii,120470
increment_data,1361.6849830150604,1363.2377333641052,bigbrain_0_4228_2085.nii,120470
save_incremented,1470.6510632038116,1541.4564580917358,bigbrain_0_4228_2085.nii,120470
load_img,1916.1151962280273,1917.474615573883,bigbrain_0_2416_6255.nii,120485
increment_data,2043.9000828266144,2044.9497666358948,bigbrain_0_2416_6255.nii,120485
save_incremented,2106.8785688877106,2153.6781566143036,bigbrain_0_2416_6255.nii,120485
load_img,3626.06308054924,3626.5097398757935,bigbrain_0_3624_1390.nii,120527
increment_data,3692.587115049362,3695.8352851867676,bigbrain_0_3624_1390.nii,120527
save_incremented,3740.3280308246613,3855.04536151886,bigbrain_0_3624_1390.nii,120527
load_img,3221.8370254039764,3222.3235261440277,bigbrain_0_3624_5560.nii,120375
increment_data,3300.2403271198273,3303.946664571762,bigbrain_0_3624_5560.nii,120375
save_incremented,3394.8802256584167,3440.3204209804535,bigbrain_0_3624_5560.nii,120375
load_img,3202.6296141147614,3202.6349291801453,bigbrain_0_2416_3475.nii,120602
increment_data,3279.9215457439423,3282.6881103515625,bigbrain_0_2416_3475.nii,120602
save_incremented,3382.5932109355927,3456.5056393146515,bigbrain_0_2416_3475.nii,120602
load_img,2412.8753430843353,2412.879737138748,bigbrain_0_1208_3475.nii,120504
increment_data,2498.377272605896,2499.9657731056213,bigbrain_0_1208_3475.nii,120504
save_incremented,2600.213483572006,2778.128486394882,bigbrain_0_1208_3475.nii,120504
load_img,3085.98787689209,3086.6555955410004,bigbrain_0_0_695.nii,120482
increment_data,3205.5697615146637,3206.961717605591,bigbrain_0_0_695.nii,120482
save_incremented,3282.264050722122,3355.771258831024,bigbrain_0_0_695.nii,120482
load_img,406.4812116622925,407.2790615558624,bigbrain_0_3624_4865.nii,120582
increment_data,485.2429234981537,486.95541286468506,bigbrain_0_3624_4865.nii,120582
save_incremented,557.6961197853088,808.3321299552917,bigbrain_0_3624_4865.nii,120582
load_img,346.8148241043091,347.0655016899109,bigbrain_0_4228_695.nii,120607
increment_data,425.2206642627716,427.36041474342346,bigbrain_0_4228_695.nii,120607
