Device,Write,Read,CacheRead
isilonAD,112 MB/s,117 MB/s,4.7 GB/s
isilonAD,112 MB/s,117 MB/s,3.5 GB/s
isilonAD,112 MB/s,117 MB/s,3.5 GB/s
isilonAD,111 MB/s,117 MB/s,3.5 GB/s
isilonAD,112 MB/s,117 MB/s,3.5 GB/s
localAD,240 MB/s,517 MB/s,4.7 GB/s
localAD,240 MB/s,520 MB/s,4.7 GB/s
localAD,241 MB/s,518 MB/s,4.7 GB/s
localAD,242 MB/s,519 MB/s,4.7 GB/s
localAD,239 MB/s,519 MB/s,4.6 GB/s
optaneAD,1.5 GB/s,3.3 GB/s,3.4 GB/s
optaneAD,2.6 GB/s,3.3 GB/s,3.4 GB/s
optaneAD,2.5 GB/s,3.3 GB/s,3.3 GB/s
optaneAD,2.5 GB/s,3.3 GB/s,3.4 GB/s
optaneAD,2.6 GB/s,3.3 GB/s,3.4 GB/s
tmpfsAD,2.8 GB/s,5.2 GB/s,4.9 GB/s
tmpfsAD,3.8 GB/s,5.2 GB/s,4.9 GB/s
tmpfsAD,3.7 GB/s,5.2 GB/s,4.9 GB/s
tmpfsAD,2.3 GB/s,5.1 GB/s,4.9 GB/s
tmpfsAD,3.7 GB/s,5.2 GB/s,4.9 GB/s
